Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Garlic,Herbs,Soy,Other
2,Gin,Alcohol,Olive oil,Oils,Spring onion,Vegetables
3,Lemon,Fruits,Pepper,Spices,,
4,Agave nectar,Sugars,Lemon,Fruits,,
5,Basil,Herbs,Red onion,Vegetables,,
6,Ginger,Herbs,Tomato,Vegetables,,
7,Mint,Herbs,Carrot,Other,,
8,St. Germain,Alcohol,Chili,Herbs,,
9,Tonic,Beverages,Cilantro,Herbs,,
10,Vodka,Alcohol,Lime,Fruits,,
11,,,Onion,Vegetables,,
12,,,Spring onion,Vegetables,,
13,,,Avocado,Vegetables,,
14,,,Bell pepper,Vegetables,,
15,,,Cumin,Spices,,
16,,,Ginger,Herbs,,
17,,,Mint,Herbs,,
18,,,Parsley,Herbs,,
19,,,Yoghurt,Dairy,,
20,,,Apple,Fruits,,
21,,,Apple cider vinegar,Vinegars,,
22,,,Arugula,Vegetables,,
23,,,Basil,Herbs,,
24,,,Bay leaf,Herbs,,
25,,,Beef,Meats,,
26,,,Cardamom,Spices,,
27,,,Celery,Vegetables,,
28,,,Cheddar,Cheeses,,
29,,,Chicken,Meats,,
30,,,Chive,Herbs,,
31,,,Cinnamon,Spices,,
32,,,Cloves,Spices,,
33,,,Coconut,Nut,,
34,,,Creme fraiche,Dairy,,
35,,,Dill,Herbs,,
36,,,Fish sauce,Other,,
37,,,Honey,Sugars,,
38,,,Mayonnaise,Condiments,,
39,,,Mustard,Condiments,,
40,,,Paprika,Spices,,
41,,,Pickling vinegar,Vinegars,,
42,,,Pine nut,Nut,,
43,,,Pointed cabbage,Vegetables,,
44,,,Sesame seed,Seeds,,
45,,,Shallot,Vegetables,,
46,,,Smoked paprika,Spices,,
47,,,Soy,Other,,
48,,,Turmeric,Spices,,
49,,,Allspice,Spices,,
50,,,Almond,Nut,,
51,,,Anchovy,Meats,,
52,,,Apple vinegar,Vinegars,,
53,,,Apricot,Fruits,,
54,,,Asparagus,Vegetables,,
55,,,Bacon,Meats,,
56,,,Balsamic vinegar,Vinegars,,
57,,,Banana,Fruits,,
58,,,Bean,Vegetables,,
59,,,Bean sprout,Vegetables,,
60,,,Beer,Alcohol,,
61,,,Beetroot,Vegetables,,
62,,,Bread,Other,,
63,,,Brocolli,Vegetables,,
64,,,Buttermilk,Dairy,,
65,,,Butternut squash,Vegetables,,
66,,,Capers,Other,,
67,,,Caraway,Spices,,
68,,,Cauliflower,Vegetables,,
69,,,Cayenne pepper,Spices,,
70,,,Chicken stock,Other,,
71,,,Chick pea,Vegetables,,
72,,,Coconut sugar,Sugars,,
73,,,Cognac,Alcohol,,
74,,,Corn,Vegetables,,
75,,,Courgette,Vegetables,,
76,,,Couscous,Other,,
77,,,Cream cheese,Cheeses,,
78,,,Curry,Spices,,
79,,,Date,Fruits,,
80,,,Edamame,Vegetables,,
81,,,Egg plant,Vegetables,,
82,,,Fennel,Vegetables,,
83,,,Feta,Cheeses,,
84,,,Flatleaf Parsley,Herbs,,
85,,,Flaxseed,Seeds,,
86,,,Garam masala,Spices,,
87,,,Grapefruit,Fruits,,
88,,,Kale,Vegetables,,
89,,,Ketchup,Condiments,,
90,,,Leek,Vegetables,,
91,,,Lemongrass,Herbs,,
92,,,Mango,Fruits,,
93,,,Maple syrup,Sugars,,
94,,,Matcha tea,Beverages,,
95,,,Mushroom,Vegetables,,
96,,,Nutmeg,Spices,,
97,,,Orange,Fruits,,
98,,,Oragano,Herbs,,
99,,,Parmesan,Dairy,,
100,,,Parsley root,Vegetables,,
101,,,Pasta,Other,,
102,,,Peanit,Nut,,
103,,,Peanut butter,Nut,,
104,,,Pear,Fruits,,
105,,,Pork,Meats,,
106,,,Potato,Vegetables,,
107,,,Pumpkin seed,Seeds,,
108,,,Raisin,Fruits,,
109,,,Red cabbage,Vegetables,,
110,,,Rhubarb,Fruits,,
111,,,Rice,Other,,
112,,,Rosemary,Herbs,,
113,,,Rye bread,Other,,
114,,,Saffron,Herbs,,
115,,,Salad,Other,,
116,,,Salmon,Meats,,
117,,,Sesame oil,Oils,,
118,,,Smoked salmon,Meats,,
119,,,Spinach,Spices,,
120,,,Star anise,Spices,,
121,,,Sundried tomato,Vegetables,,
122,,,Tahin,Other,,
123,,,Tarragon,Herbs,,
124,,,Timian,Herbs,,
125,,,Vanilla,Herbs,,
126,,,Vegetable stock,Other,,
127,,,Walnut,Nut,,
128,,,Watercress,Vegetables,,
129,,,Watermelon,Fruits,,
130,,,White wine,Alcohol,,
131,,,White wine vinegar,Vinegars,,
132,,,Worcestershire sauce,Condiments,,
133,,,Zucchini,Vegetables,,
