Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Cinnamon,Spices
2,Bay leaf,Herbs,Cardamom,Spices
3,Allspice,Spices,Cloves,Spices
4,Cinnamon,Spices,Orange,Fruits
5,Cloves,Spices,Almond,Nut
6,Honey,Sugars,Apricot,Fruits
7,Onion,Vegetables,Ginger,Herbs
8,Orange,Fruits,Lemon,Fruits
9,Red cabbage,Vegetables,Marzipan,Other
10,Red wine,Alcohol,Raisin,Fruits
11,Star anise,Spices,Vanilla,Herbs
12,,,Allspice,Spices
13,,,Cocoa,Other
14,,,Cognac,Alcohol
15,,,Dark chocolate,Other
16,,,Dark rum,Alcohol
17,,,Date,Fruits
18,,,Fig,Fruits
19,,,Honey,Sugars
20,,,Pistachio,Nut
21,,,Portwine,Alcohol
22,,,Rum,Alcohol
