Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Lime,Fruits
2,Garlic,Herbs,Pistachio,Nut
3,Olive oil,Oils,Vanilla,Herbs
4,Onion,Vegetables,,
5,Cumin,Spices,,
6,Apple,Fruits,,
7,Carrot,Other,,
8,Cilantro,Herbs,,
9,Coconut,Nut,,
10,Ginger,Herbs,,
11,Mayonnaise,Condiments,,
12,Tomato,Vegetables,,
13,Bell pepper,Vegetables,,
14,Cardamom,Spices,,
15,Chicken,Meats,,
16,Chili,Herbs,,
17,Creme fraiche,Dairy,,
18,Lemon,Fruits,,
19,Red onion,Vegetables,,
20,Turmeric,Spices,,
21,Bacon,Meats,,
22,Brocolli,Vegetables,,
23,Capers,Other,,
24,Cauliflower,Vegetables,,
25,Celery,Vegetables,,
26,Chive,Herbs,,
27,Cinnamon,Spices,,
28,Cucumber,Vegetables,,
29,Dill,Herbs,,
30,Garam masala,Spices,,
31,Honey,Sugars,,
32,Leek,Vegetables,,
33,Lime,Fruits,,
34,Mushroom,Vegetables,,
35,Mustard,Condiments,,
36,Paprika,Spices,,
37,Parsley,Herbs,,
38,Parsley root,Vegetables,,
39,Pointed cabbage,Vegetables,,
40,Potato,Vegetables,,
41,Raisin,Fruits,,
42,Rice,Other,,
43,Spring onion,Vegetables,,
44,Timian,Herbs,,
45,Yoghurt,Dairy,,
46,Zucchini,Vegetables,,
47,Apple cider vinegar,Vinegars,,
48,Arugula,Vegetables,,
49,Avocado,Vegetables,,
50,Balsamic vinegar,Vinegars,,
51,Banana,Fruits,,
52,Bay leaf,Herbs,,
53,Bean,Vegetables,,
54,Cashew,Nut,,
55,Cayenne pepper,Spices,,
56,Celeriac,Vegetables,,
57,Chicken stock,Other,,
58,Chick pea,Vegetables,,
59,Cloves,Spices,,
60,Coconut sugar,Sugars,,
61,Corn,Vegetables,,
62,Cream cheese,Cheeses,,
63,Dark chocolate,Other,,
64,Edamame,Vegetables,,
65,Egg plant,Vegetables,,
66,Fennel,Vegetables,,
67,Fish sauce,Other,,
68,Hazelnut,Nut,,
69,Mango,Fruits,,
70,Mint,Herbs,,
71,Noodle,Other,,
72,Oragano,Herbs,,
73,Peanit,Nut,,
74,Pickling vinegar,Vinegars,,
75,Pine nut,Nut,,
76,Pork,Meats,,
77,Rosemary,Herbs,,
78,Rye bread,Other,,
79,Salad,Other,,
80,Salmon,Meats,,
81,Smoked paprika,Spices,,
82,Soy,Other,,
83,Spinach,Spices,,
84,White wine,Alcohol,,
85,Worcestershire sauce,Condiments,,
