Rank,Savory,Category,Sweet,Category
1,Cinnamon,Spices,Almond,Nut
2,Olive oil,Oils,Cinnamon,Spices
3,Honey,Sugars,Cocoa,Other
4,Cardamom,Spices,Vanilla,Herbs
5,Pepper,Spices,Dark chocolate,Other
6,Vanilla,Herbs,Coconut,Nut
7,Almond,Nut,Honey,Sugars
8,Banana,Fruits,Cardamom,Spices
9,Chia seed,Seeds,Fig,Fruits
10,Flaxseed,Seeds,Hazelnut,Nut
11,Garlic,Herbs,Maple syrup,Sugars
12,Lemon,Fruits,Marzipan,Other
13,Mint,Herbs,Banana,Fruits
14,Onion,Vegetables,Chia seed,Seeds
15,Apple,Fruits,Lemon,Fruits
16,Apricot,Fruits,Pecan,Nut
17,Cilantro,Herbs,Apple,Fruits
18,Cloves,Spices,Apricot,Fruits
19,Cumin,Spices,Avocado,Vegetables
20,Ginger,Herbs,Bacon,Meats
21,Hazelnut,Nut,Buttermilk,Dairy
22,Parsley,Herbs,Carrot,Other
23,Pine nut,Nut,Cashew,Nut
24,Red onion,Vegetables,Cloves,Spices
25,Spinach,Spices,Coconut sugar,Sugars
26,Turmeric,Spices,Cognac,Alcohol
27,Yoghurt,Dairy,Cream,Dairy
28,Avocado,Vegetables,Currant,Berries
29,Bacon,Meats,Dark rum,Alcohol
30,Brocolli,Vegetables,Flaxseed,Seeds
31,Buttermilk,Dairy,Ginger,Herbs
32,Cashew,Nut,Licorice,Candy
33,Cayenne pepper,Spices,Lime,Fruits
34,Chick pea,Vegetables,Mint,Herbs
35,Coconut,Nut,Nougat,Other
36,Coconut sugar,Sugars,Orange,Fruits
37,Cucumber,Vegetables,Peanit,Nut
38,Dark chocolate,Other,Peanut butter,Nut
39,Edamame,Vegetables,Pistachio,Nut
40,Maple syrup,Sugars,Portwine,Alcohol
41,Matcha tea,Beverages,Raisin,Fruits
42,Milk chocolate,Other,Raspberry,Berries
43,Orange,Fruits,Rum,Alcohol
44,Pear,Fruits,Sesame seed,Seeds
45,Raspberry,Berries,Turmeric,Spices
46,Red cabbage,Vegetables,Walnut,Nut
47,Rice,Other,White chocolate,Other
48,Saffron,Herbs,,
49,Salad,Other,,
50,Sesame seed,Seeds,,
51,Sourdough,Other,,
52,Spring onion,Vegetables,,
53,Tahin,Other,,
54,Timian,Herbs,,
55,Tomato,Vegetables,,
56,White chocolate,Other,,
