Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Olive oil,Oils
2,Olive oil,Oils,Lemon,Fruits
3,Lemon,Fruits,Chicken stock,Other
4,Creme fraiche,Dairy,Creme fraiche,Dairy
5,Garlic,Herbs,Shallot,Vegetables
6,Onion,Vegetables,Walnut,Nut
7,Red onion,Vegetables,,
8,Mustard,Condiments,,
9,Parsley,Herbs,,
10,Potato,Vegetables,,
11,Apple,Fruits,,
12,Carrot,Other,,
13,Chive,Herbs,,
14,Cucumber,Vegetables,,
15,Honey,Sugars,,
16,Leek,Vegetables,,
17,Mayonnaise,Condiments,,
18,Spring onion,Vegetables,,
19,Tomato,Vegetables,,
20,Apple cider vinegar,Vinegars,,
21,Asparagus,Vegetables,,
22,Avocado,Vegetables,,
23,Bacon,Meats,,
24,Bay leaf,Herbs,,
25,Capers,Other,,
26,Chili,Herbs,,
27,Cilantro,Herbs,,
28,Cinnamon,Spices,,
29,Cream cheese,Cheeses,,
30,Cumin,Spices,,
31,Curry,Spices,,
32,Egg plant,Vegetables,,
33,Fennel,Vegetables,,
34,Feta,Cheeses,,
35,Lime,Fruits,,
36,Paprika,Spices,,
37,Parmesan,Dairy,,
38,Pea,Vegetables,,
39,Pointed cabbage,Vegetables,,
40,Rye bread,Other,,
41,Salmon,Meats,,
42,Sesame seed,Seeds,,
43,Smoked salmon,Meats,,
44,Spinach,Spices,,
45,Timian,Herbs,,
46,Turmeric,Spices,,
47,White wine,Alcohol,,
48,White wine vinegar,Vinegars,,
49,Yoghurt,Dairy,,
50,Allspice,Spices,,
51,Almond,Nut,,
52,Apricot,Fruits,,
53,Arugula,Vegetables,,
54,Balsamic vinegar,Vinegars,,
55,Basil,Herbs,,
56,Beef,Meats,,
57,Bell pepper,Vegetables,,
58,Bread,Other,,
59,Brocolli,Vegetables,,
60,Cardamom,Spices,,
61,Cauliflower,Vegetables,,
62,Cayenne pepper,Spices,,
63,Celery,Vegetables,,
64,Chicken,Meats,,
65,Chick pea,Vegetables,,
66,Cloves,Spices,,
67,Cocoa,Other,,
68,Courgette,Vegetables,,
69,Cream,Dairy,,
70,Edamame,Vegetables,,
71,Fennel seed,Spices,,
72,Flatleaf Parsley,Herbs,,
73,Flaxseed,Seeds,,
74,Ginger,Herbs,,
75,Goat cheese,Cheeses,,
76,Ketchup,Condiments,,
77,Lemongrass,Herbs,,
78,Mango,Fruits,,
79,Maple syrup,Sugars,,
80,Mint,Herbs,,
81,Mozzarella,Cheeses,,
82,Nutmeg,Spices,,
83,Oragano,Herbs,,
84,Pecan,Nut,,
85,Pickling vinegar,Vinegars,,
86,Pomegranate,Fruits,,
87,Pumpkin seed,Seeds,,
88,Raisin,Fruits,,
89,Red cabbage,Vegetables,,
90,Rice,Other,,
91,Ricotta,Cheeses,,
92,Rosemary,Herbs,,
93,Saffron,Herbs,,
94,Salad,Other,,
95,Shallot,Vegetables,,
96,Smoked paprika,Spices,,
97,Soy,Other,,
98,Star anise,Spices,,
99,Sundried tomato,Vegetables,,
100,Tahin,Other,,
101,Tarragon,Herbs,,
102,Vanilla,Herbs,,
103,Vegetable stock,Other,,
104,Walnut,Nut,,
105,Yuzu,Fruits,,
106,Zucchini,Vegetables,,
