Rank,Cocktail,Category
1,Lemon,Fruits
2,Orange bitter,Alcohol
3,Gin,Alcohol
4,Orange,Fruits
5,Cointreau,Liqueurs
6,Grenadine,Beverages
7,Rosemary,Herbs
8,Absinthe,Alcohol
9,Angostura,Alcohol
10,Aperol,Alcohol
11,Bénédictine,Alcohol
12,Calvados,Alcohol
13,Campari,Alcohol
14,Grapefruit,Fruits
15,Light rum,Alcohol
16,Lime,Fruits
17,Maraschino liqueur,Alcohol
18,Mint,Herbs
19,Orange curaçao,Alcohol
20,Pineapple,Fruits
21,Rye whiskey,Alcohol
22,Sweet vermouth,Alcohol
23,Tabasco,Condiments
24,Tomato,Vegetables
25,Vodka,Alcohol
