Rank,Savory,Category
1,Olive oil,Oils
2,Garlic,Herbs
3,Soy,Other
4,Ginger,Herbs
5,Lime,Fruits
6,Avocado,Vegetables
7,Brocolli,Vegetables
8,Cilantro,Herbs
9,Lemon,Fruits
10,Pepper,Spices
11,Rice,Other
12,Sesame seed,Seeds
13,Apple cider vinegar,Vinegars
14,Arugula,Vegetables
15,Bell pepper,Vegetables
16,Carrot,Other
17,Cashew,Nut
18,Chicken,Meats
19,Chili,Herbs
20,Coconut,Nut
21,Coconut sugar,Sugars
22,Onion,Vegetables
23,Red onion,Vegetables
24,Spinach,Spices
25,Spring onion,Vegetables
26,Apple,Fruits
27,Bacon,Meats
28,Banana,Fruits
29,Capers,Other
30,Cardamom,Spices
31,Chick pea,Vegetables
32,Cinnamon,Spices
33,Cream cheese,Cheeses
34,Creme fraiche,Dairy
35,Cucumber,Vegetables
36,Curry,Spices
37,Date,Fruits
38,Dill,Herbs
39,Fennel,Vegetables
40,Feta,Cheeses
41,Fish sauce,Other
42,Flaxseed,Seeds
43,Honey,Sugars
44,Kale,Vegetables
45,Maple syrup,Sugars
46,Mayonnaise,Condiments
47,Mint,Herbs
48,Mustard,Condiments
49,Noodle,Other
50,Parmesan,Dairy
51,Parsley,Herbs
52,Peanit,Nut
53,Peanut butter,Nut
54,Pine nut,Nut
55,Pointed cabbage,Vegetables
56,Potato,Vegetables
57,Salmon,Meats
58,Smoked salmon,Meats
59,Sundried tomato,Vegetables
60,Tahin,Other
61,Tomato,Vegetables
62,Turmeric,Spices
63,Watermelon,Fruits
64,Zucchini,Vegetables
