Rank,Savory,Category
1,Olive oil,Oils
2,Garlic,Herbs
3,Onion,Vegetables
4,Tomato,Vegetables
5,Pepper,Spices
6,Lemon,Fruits
7,Cumin,Spices
8,Parmesan,Dairy
9,Zucchini,Vegetables
10,Basil,Herbs
11,Bell pepper,Vegetables
12,Chili,Herbs
13,Cinnamon,Spices
14,Mozzarella,Cheeses
15,Parsley,Herbs
16,Red onion,Vegetables
17,Tahin,Other
18,Timian,Herbs
19,Beef,Meats
20,Carrot,Other
21,Celery,Vegetables
22,Chicken,Meats
23,Cilantro,Herbs
24,Courgette,Vegetables
25,Cucumber,Vegetables
26,Dill,Herbs
27,Feta,Cheeses
28,Honey,Sugars
29,Mint,Herbs
30,Mushroom,Vegetables
31,Nutmeg,Spices
32,Oragano,Herbs
33,Paprika,Spices
34,Pomegranate,Fruits
35,Potato,Vegetables
36,Rosemary,Herbs
37,Smoked paprika,Spices
38,Spinach,Spices
39,Sundried tomato,Vegetables
40,Yoghurt,Dairy
41,Allspice,Spices
42,Almond,Nut
43,Apple cider vinegar,Vinegars
44,Asparagus,Vegetables
45,Avocado,Vegetables
46,Balsamic vinegar,Vinegars
47,Bay leaf,Herbs
48,Bean,Vegetables
49,Cauliflower,Vegetables
50,Cheddar,Cheeses
51,Chick pea,Vegetables
52,Chive,Herbs
53,Chorizo,Meats
54,Coconut,Nut
55,Coconut sugar,Sugars
56,Coriander seed,Other
57,Creme fraiche,Dairy
58,Curry,Spices
59,Dark chocolate,Other
60,Fennel,Vegetables
61,Fig,Fruits
62,Flatleaf Parsley,Herbs
63,Garam masala,Spices
64,Ginger,Herbs
65,Hazelnut,Nut
66,Kale,Vegetables
67,Lime,Fruits
68,Mustard,Condiments
69,Parsley root,Vegetables
70,Pasta,Other
71,Pistachio,Nut
72,Raisin,Fruits
73,Red cabbage,Vegetables
74,Red wine,Alcohol
75,Rice,Other
76,Ricotta,Cheeses
77,Salad,Other
78,Sesame seed,Seeds
79,Shallot,Vegetables
80,Soy,Other
81,Spring onion,Vegetables
82,Tarragon,Herbs
83,Turmeric,Spices
84,White wine,Alcohol
85,Worcestershire sauce,Condiments
