Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Beer,Alcohol,Lemon,Fruits
2,Strawberry,Berries,Mint,Herbs,Vanilla,Herbs
3,Vodka,Alcohol,Mustard,Condiments,Almond,Nut
4,Basil,Herbs,Olive oil,Oils,White chocolate,Other
5,Gin,Alcohol,Pepper,Spices,Lime,Fruits
6,Ginger,Herbs,Pumpkin seed,Seeds,Marzipan,Other
7,Mint,Herbs,Spinach,Spices,Strawberry,Berries
8,Rhubarb,Fruits,Vanilla,Herbs,Dark chocolate,Other
9,Vanilla,Herbs,,,Blueberry,Berries
10,White rum,Alcohol,,,Champagne,Alcohol
11,,,,,Condensed milk,Dairy
12,,,,,Creme fraiche,Dairy
13,,,,,Hazelnut,Nut
14,,,,,Honey,Sugars
15,,,,,Marshmallow,Candy
16,,,,,Passionfruit,Fruits
17,,,,,Pistachio,Nut
18,,,,,Raspberry,Berries
19,,,,,Redcurrant,Berries
20,,,,,Rhubarb,Fruits
21,,,,,Apple,Fruits
22,,,,,Cocoa,Other
23,,,,,Coconut,Nut
24,,,,,Cream cheese,Cheeses
25,,,,,Ginger,Herbs
26,,,,,Gooseberry,Berries
27,,,,,Licorice,Candy
28,,,,,Mango,Fruits
29,,,,,Mascarpone,Cheeses
30,,,,,Milk chocolate,Other
31,,,,,Mint,Herbs
32,,,,,Nougat,Other
33,,,,,Orange,Fruits
34,,,,,Pepper,Spices
35,,,,,Walnut,Nut
36,,,,,Apricot,Fruits
37,,,,,Banana,Fruits
38,,,,,Basil,Herbs
39,,,,,Blackberry,Berries
40,,,,,Cardamom,Spices
41,,,,,Cherry,Berries
42,,,,,Chestnut,Nut
43,,,,,Chili,Herbs
44,,,,,Cinnamon,Spices
45,,,,,Coffee,Beverages
46,,,,,Grand Marnier,Alcohol
47,,,,,Grapefruit,Fruits
48,,,,,Peanit,Nut
49,,,,,Pear,Fruits
50,,,,,Pecan,Nut
51,,,,,Pine needles,Other
52,,,,,Plum,Berries
53,,,,,Portwine,Alcohol
54,,,,,Rosewater,Other
55,,,,,Rosemary,Herbs
56,,,,,Sea buckthorn,Berries
57,,,,,Tarragon,Herbs
58,,,,,Turmeric,Spices
59,,,,,Vodka,Alcohol
60,,,,,Wood sorrel,Herbs
61,,,,,Yoghurt,Dairy
