Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Cinnamon,Spices
2,Garlic,Herbs,Paprika,Spices
3,Chili,Herbs,Cumin,Spices
4,Tomato,Vegetables,Red wine,Alcohol
5,Onion,Vegetables,Star anise,Spices
6,Red onion,Vegetables,,
7,Bay leaf,Herbs,,
8,Coriander seed,Other,,
9,Cumin,Spices,,
10,Carrot,Other,,
11,Cream,Dairy,,
12,Fennel,Vegetables,,
13,Flatleaf Parsley,Herbs,,
14,Ginger,Herbs,,
15,Lemon,Fruits,,
16,Shallot,Vegetables,,
17,Yoghurt,Dairy,,
18,Anchovy,Meats,,
19,Chicken stock,Other,,
20,Cinnamon,Spices,,
21,Creme fraiche,Dairy,,
22,Dill,Herbs,,
23,Garam masala,Spices,,
24,Honey,Sugars,,
25,Leek,Vegetables,,
26,Mustard,Condiments,,
27,Oragano,Herbs,,
28,Parmesan,Dairy,,
29,Parsley,Herbs,,
30,Pepper,Spices,,
31,Potato,Vegetables,,
32,Red wine,Alcohol,,
33,Ricotta,Cheeses,,
34,Rosemary,Herbs,,
35,Spinach,Spices,,
36,Star anise,Spices,,
37,Turmeric,Spices,,
38,White wine,Alcohol,,
39,White wine vinegar,Vinegars,,
40,Arugula,Vegetables,,
41,Avocado,Vegetables,,
42,Basil,Herbs,,
43,Beef stock,Other,,
44,Bell pepper,Vegetables,,
45,Buttermilk,Dairy,,
46,Cayenne pepper,Spices,,
47,Celery,Vegetables,,
48,Chick pea,Vegetables,,
49,Chorizo,Meats,,
50,Cilantro,Herbs,,
51,Mayonnaise,Condiments,,
52,Nutmeg,Spices,,
53,Orange,Fruits,,
54,Smoked paprika,Spices,,
55,Sweet potato,Vegetables,,
56,Timian,Herbs,,
57,Vegetable stock,Other,,
58,Watercress,Vegetables,,
