Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Cranberry,Berries
2,Garlic,Herbs,Flaxseed,Seeds
3,Onion,Vegetables,Olive oil,Oils
4,Pepper,Spices,Sesame seed,Seeds
5,White wine,Alcohol,,
6,Leek,Vegetables,,
7,Lemon,Fruits,,
8,Parsley,Herbs,,
9,Red onion,Vegetables,,
10,Bay leaf,Herbs,,
11,Carrot,Other,,
12,Celery,Vegetables,,
13,Chili,Herbs,,
14,Honey,Sugars,,
15,Mustard,Condiments,,
16,Parmesan,Dairy,,
17,Potato,Vegetables,,
18,Timian,Herbs,,
19,Tomato,Vegetables,,
20,Apple,Fruits,,
21,Arugula,Vegetables,,
22,Bacon,Meats,,
23,Bell pepper,Vegetables,,
24,Capers,Other,,
25,Chicken stock,Other,,
26,Chive,Herbs,,
27,Cilantro,Herbs,,
28,Cognac,Alcohol,,
29,Cucumber,Vegetables,,
30,Dill,Herbs,,
31,Fennel seed,Spices,,
32,Flatleaf Parsley,Herbs,,
33,Ginger,Herbs,,
34,Lime,Fruits,,
35,Mayonnaise,Condiments,,
36,Nutmeg,Spices,,
37,Pointed cabbage,Vegetables,,
38,Ricotta,Cheeses,,
39,Saffron,Herbs,,
40,Smoked paprika,Spices,,
41,Spring onion,Vegetables,,
42,Tarragon,Herbs,,
43,Yoghurt,Dairy,,
44,Almond,Nut,,
45,Anchovy,Meats,,
46,Apple cider vinegar,Vinegars,,
47,Apple vinegar,Vinegars,,
48,Asparagus,Vegetables,,
49,Avocado,Vegetables,,
50,Balsamic vinegar,Vinegars,,
51,Banana,Fruits,,
52,Blood orange,Fruits,,
53,Blueberry,Berries,,
54,Buttermilk,Dairy,,
55,Cauliflower,Vegetables,,
56,Celeriac,Vegetables,,
57,Chorizo,Meats,,
58,Coconut,Nut,,
59,Coriander seed,Other,,
60,Courgette,Vegetables,,
61,Cranberry,Berries,,
62,Cream,Dairy,,
63,Creme fraiche,Dairy,,
64,Curry,Spices,,
65,Dark rum,Alcohol,,
66,Edamame,Vegetables,,
67,Egg plant,Vegetables,,
68,Goat cheese,Cheeses,,
69,Hazelnut,Nut,,
70,Kale,Vegetables,,
71,Licorice,Candy,,
72,Mango,Fruits,,
73,Mascarpone,Cheeses,,
74,Mint,Herbs,,
75,Orange,Fruits,,
76,Oragano,Herbs,,
77,Paprika,Spices,,
78,Parsley root,Vegetables,,
79,Passionfruit,Fruits,,
80,Pea,Vegetables,,
81,Pear,Fruits,,
82,Pickling vinegar,Vinegars,,
83,Pomegranate,Fruits,,
84,Poppy seed,Seeds,,
85,Pumpkin seed,Seeds,,
86,Rapeseed oil,Oils,,
87,Raspberry,Berries,,
88,Red cabbage,Vegetables,,
89,Rosemary,Herbs,,
90,Rye bread,Other,,
91,Sage,Herbs,,
92,Salmon,Meats,,
93,Sea buckthorn,Berries,,
94,Sesame seed,Seeds,,
95,Shallot,Vegetables,,
96,Soy,Other,,
97,Spinach,Spices,,
98,Star anise,Spices,,
99,Sweet potato,Vegetables,,
100,Tahin,Other,,
101,Turmeric,Spices,,
102,Vegetable stock,Other,,
103,White wine vinegar,Vinegars,,
104,Zucchini,Vegetables,,
