Rank,Savory,Category
1,Olive oil,Oils
2,Garlic,Herbs
3,Pepper,Spices
4,Red onion,Vegetables
5,Onion,Vegetables
6,Lemon,Fruits
7,Tomato,Vegetables
8,Arugula,Vegetables
9,Chili,Herbs
10,Cumin,Spices
11,Honey,Sugars
12,Mustard,Condiments
13,Parsley,Herbs
14,Potato,Vegetables
15,Spinach,Spices
16,Spring onion,Vegetables
17,Timian,Herbs
18,Yoghurt,Dairy
19,Apple cider vinegar,Vinegars
20,Avocado,Vegetables
21,Bell pepper,Vegetables
22,Carrot,Other
23,Cayenne pepper,Spices
24,Cilantro,Herbs
25,Cinnamon,Spices
26,Cucumber,Vegetables
27,Dill,Herbs
28,Egg plant,Vegetables
29,Flatleaf Parsley,Herbs
30,Kale,Vegetables
31,Mint,Herbs
32,Oragano,Herbs
33,Paprika,Spices
34,Pear,Fruits
35,Pine nut,Nut
36,Pumpkin seed,Seeds
37,Sundried tomato,Vegetables
38,Sweet potato,Vegetables
39,Walnut,Nut
40,Almond,Nut
41,Apricot,Fruits
42,Balsamic vinegar,Vinegars
43,Basil,Herbs
44,Beetroot,Vegetables
45,Blueberry,Berries
46,Bread,Other
47,Brocolli,Vegetables
48,Butternut squash,Vegetables
49,Capers,Other
50,Cardamom,Spices
51,Cauliflower,Vegetables
52,Cheddar,Cheeses
53,Chicken,Meats
54,Chicken stock,Other
55,Chick pea,Vegetables
56,Chive,Herbs
57,Chorizo,Meats
58,Cocoa,Other
59,Courgette,Vegetables
60,Couscous,Other
61,Cream cheese,Cheeses
62,Creme fraiche,Dairy
63,Edamame,Vegetables
64,Garam masala,Spices
65,Ginger,Herbs
66,Gooseberry,Berries
67,Leek,Vegetables
68,Lime,Fruits
69,Maple syrup,Sugars
70,Mozzarella,Cheeses
71,Mushroom,Vegetables
72,Orange,Fruits
73,Parmesan,Dairy
74,Pea,Vegetables
75,Peach,Fruits
76,Pecan,Nut
77,Pistachio,Nut
78,Pointed cabbage,Vegetables
79,Pomegranate,Fruits
80,Pumpkin,Vegetables
81,Rapeseed oil,Oils
82,Red wine,Alcohol
83,Redcurrant,Berries
84,Ricotta,Cheeses
85,Rosemary,Herbs
86,Sage,Herbs
87,Shallot,Vegetables
88,Smoked paprika,Spices
89,Smoked salmon,Meats
90,Soy,Other
91,Strawberry,Berries
92,Tahin,Other
93,Turmeric,Spices
94,Vanilla,Herbs
95,Vegetable stock,Other
96,Watercress,Vegetables
97,Watermelon,Fruits
98,White wine,Alcohol
99,White wine vinegar,Vinegars
100,Zucchini,Vegetables
