Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Almond,Nut
2,Basil,Herbs,Lemon,Fruits
3,Mozzarella,Cheeses,Pistachio,Nut
4,Parmesan,Dairy,Date,Fruits
5,Pepper,Spices,Honey,Sugars
6,Pomegranate,Fruits,Vanilla,Herbs
7,Tomato,Vegetables,Cinnamon,Spices
8,Walnut,Nut,Dark chocolate,Other
9,Balsamic vinegar,Vinegars,Marzipan,Other
10,Celery,Vegetables,White chocolate,Other
11,Egg plant,Vegetables,Cardamom,Spices
12,Garlic,Herbs,Orange,Fruits
13,Onion,Vegetables,Portwine,Alcohol
14,Orange,Fruits,Rhubarb,Fruits
15,Oragano,Herbs,Anise,Spices
16,Pear,Fruits,Apricot,Fruits
17,,,Beetroot,Vegetables
18,,,Blackcurrant,Berries
19,,,Cherry,Berries
20,,,Chia seed,Seeds
21,,,Cloves,Spices
22,,,Cocoa,Other
23,,,Coconut,Nut
24,,,Cognac,Alcohol
25,,,Currant,Berries
26,,,Dark rum,Alcohol
27,,,Ginger,Herbs
28,,,Hazelnut,Nut
29,,,Licorice,Candy
30,,,Marshmallow,Candy
31,,,Milk chocolate,Other
32,,,Nougat,Other
33,,,Raisin,Fruits
34,,,Walnut,Nut
35,,,Yoghurt,Dairy
