Rank,Savory,Category,Sweet,Category
1,Chili,Herbs,Chili,Herbs
2,Garlic,Herbs,Coconut,Nut
3,Cilantro,Herbs,Courgette,Vegetables
4,Ginger,Herbs,Garlic,Herbs
5,Soy,Other,Ginger,Herbs
6,Lime,Fruits,Lime,Fruits
7,Carrot,Other,Peanit,Nut
8,Onion,Vegetables,Sesame seed,Seeds
9,Spring onion,Vegetables,Shallot,Vegetables
10,Coconut,Nut,Turmeric,Spices
11,Coconut sugar,Sugars,,
12,Cucumber,Vegetables,,
13,Lemongrass,Herbs,,
14,Mint,Herbs,,
15,Olive oil,Oils,,
16,Peanit,Nut,,
17,Pepper,Spices,,
18,Red onion,Vegetables,,
19,Rice,Other,,
20,Star anise,Spices,,
21,Apple cider vinegar,Vinegars,,
22,Bean sprout,Vegetables,,
23,Bell pepper,Vegetables,,
24,Brocolli,Vegetables,,
25,Cashew,Nut,,
26,Chicken,Meats,,
27,Chicken stock,Other,,
28,Cinnamon,Spices,,
29,Creme fraiche,Dairy,,
30,Cumin,Spices,,
31,Honey,Sugars,,
32,Mayonnaise,Condiments,,
33,Mushroom,Vegetables,,
34,Noodle,Other,,
35,Pork,Meats,,
36,Sesame seed,Seeds,,
37,Shallot,Vegetables,,
38,Spinach,Spices,,
39,Tomato,Vegetables,,
40,Turmeric,Spices,,
41,Zucchini,Vegetables,,
42,Allspice,Spices,,
43,Apple,Fruits,,
44,Arugula,Vegetables,,
45,Asparagus,Vegetables,,
46,Avocado,Vegetables,,
47,Bacon,Meats,,
48,Basil,Herbs,,
49,Bay leaf,Herbs,,
50,Bread,Other,,
51,Butternut squash,Vegetables,,
52,Cauliflower,Vegetables,,
53,Cayenne pepper,Spices,,
54,Celery,Vegetables,,
55,Chive,Herbs,,
56,Cloves,Spices,,
57,Coriander seed,Other,,
58,Curry,Spices,,
59,Edamame,Vegetables,,
60,Grapefruit,Fruits,,
61,Kale,Vegetables,,
62,Leek,Vegetables,,
63,Lemon,Fruits,,
64,Mango,Fruits,,
65,Orange,Fruits,,
66,Paprika,Spices,,
67,Parmesan,Dairy,,
68,Parsley,Herbs,,
69,Pea,Vegetables,,
70,Peanut butter,Nut,,
71,Pointed cabbage,Vegetables,,
72,Pomegranate,Fruits,,
73,Potato,Vegetables,,
74,Sesame oil,Oils,,
75,Smoked paprika,Spices,,
76,Timian,Herbs,,
77,Worcestershire sauce,Condiments,,
78,Yoghurt,Dairy,,
