Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Nutmeg,Spices
2,Olive oil,Oils,,
3,Onion,Vegetables,,
4,Red onion,Vegetables,,
5,Lemon,Fruits,,
6,Tomato,Vegetables,,
7,Balsamic vinegar,Vinegars,,
8,Carrot,Other,,
9,Chicken stock,Other,,
10,Chili,Herbs,,
11,Cilantro,Herbs,,
12,Cream,Dairy,,
13,Creme fraiche,Dairy,,
14,Cumin,Spices,,
15,Mustard,Condiments,,
16,Parmesan,Dairy,,
17,Potato,Vegetables,,
18,Shallot,Vegetables,,
19,White wine,Alcohol,,
20,Bay leaf,Herbs,,
21,Bell pepper,Vegetables,,
22,Butternut squash,Vegetables,,
23,Capers,Other,,
24,Cauliflower,Vegetables,,
25,Cayenne pepper,Spices,,
26,Celery,Vegetables,,
27,Chorizo,Meats,,
28,Cinnamon,Spices,,
29,Courgette,Vegetables,,
30,Dill,Herbs,,
31,Fennel,Vegetables,,
32,Fennel seed,Spices,,
33,Feta,Cheeses,,
34,Ginger,Herbs,,
35,Honey,Sugars,,
36,Kale,Vegetables,,
37,Leek,Vegetables,,
38,Mint,Herbs,,
39,Pea,Vegetables,,
40,Pine nut,Nut,,
41,Rapeseed oil,Oils,,
42,Red wine,Alcohol,,
43,Rice,Other,,
44,Rosemary,Herbs,,
45,Smoked paprika,Spices,,
46,Spinach,Spices,,
47,Spring onion,Vegetables,,
48,Timian,Herbs,,
49,Turmeric,Spices,,
50,Vegetable stock,Other,,
51,White wine vinegar,Vinegars,,
52,Worcestershire sauce,Condiments,,
53,Yoghurt,Dairy,,
54,Anchovy,Meats,,
55,Arugula,Vegetables,,
56,Avocado,Vegetables,,
57,Beef stock,Other,,
58,Brandy,Alcohol,,
59,Brocolli,Vegetables,,
60,Cheddar,Cheeses,,
61,Cherry,Berries,,
62,Chick pea,Vegetables,,
63,Couscous,Other,,
64,Cucumber,Vegetables,,
65,Egg plant,Vegetables,,
66,Garam masala,Spices,,
67,Hazelnut,Nut,,
68,Ketchup,Condiments,,
69,Mayonnaise,Condiments,,
70,Mushroom,Vegetables,,
71,Nutmeg,Spices,,
72,Oragano,Herbs,,
73,Paprika,Spices,,
74,Raisin,Fruits,,
75,Ricotta,Cheeses,,
76,Sage,Herbs,,
77,Sesame seed,Seeds,,
78,Soy,Other,,
79,Tahin,Other,,
80,Watercress,Vegetables,,
