,Cocktail,Savory,Sweet
Absinthe,Yes,No,No
Agave nectar,Yes,Yes,No
Allspice,Yes,Yes,Yes
Almond,Yes,Yes,Yes
Amaretto,Yes,No,Yes
Anchovy,No,Yes,No
Angostura,Yes,No,No
Anise,No,No,Yes
Aperol,Yes,No,No
Apple,Yes,Yes,Yes
Apple cider,Yes,Yes,Yes
Apple cider vinegar,No,Yes,Yes
Apple vinegar,No,Yes,No
Apricot,No,Yes,Yes
Arugula,No,Yes,Yes
Asparagus,No,Yes,No
Averna Amaro,Yes,No,No
Avocado,No,Yes,Yes
Bacon,Yes,Yes,Yes
Baileys,Yes,Yes,Yes
Balsamic vinegar,Yes,Yes,Yes
Banana,Yes,Yes,Yes
Basil,Yes,Yes,Yes
Bay leaf,Yes,Yes,Yes
Bean,No,Yes,No
Bean sprout,No,Yes,No
Beef,No,Yes,No
Beef stock,No,Yes,No
Beer,Yes,Yes,Yes
Beetroot,No,Yes,Yes
Bell pepper,No,Yes,Yes
Bénédictine,Yes,No,No
Bergamot,Yes,Yes,Yes
Black tea,No,Yes,Yes
Blackberry,Yes,Yes,Yes
Blackcurrant,No,No,Yes
Blood orange,Yes,Yes,Yes
Blue curaçao,Yes,No,No
Blueberry,Yes,Yes,Yes
Bourbon,Yes,No,Yes
Bourbon whisky,Yes,No,No
Brandy,Yes,Yes,Yes
Bread,Yes,Yes,Yes
Brocolli,No,Yes,Yes
Brown cheese,No,No,Yes
Buttermilk,No,Yes,Yes
Butternut squash,No,Yes,No
Calvados,Yes,No,No
Campari,Yes,No,No
Capers,No,Yes,Yes
Caramel,No,No,Yes
Caraway,No,Yes,Yes
Cardamom,Yes,Yes,Yes
Carrot,Yes,Yes,Yes
Cashew,No,Yes,Yes
Cauliflower,No,Yes,Yes
Cayenne pepper,Yes,Yes,Yes
Celeriac,No,Yes,No
Celery,Yes,Yes,Yes
Champagne,Yes,Yes,Yes
Cheddar,No,Yes,Yes
Cherry,Yes,Yes,Yes
Cherry wine,No,No,Yes
Chestnut,No,Yes,Yes
Chia seed,No,Yes,Yes
Chick pea,No,Yes,Yes
Chicken,No,Yes,No
Chicken stock,Yes,Yes,Yes
Chili,Yes,Yes,Yes
Chive,No,Yes,No
Chokeberry,No,No,Yes
Chorizo,No,Yes,No
Cilantro,No,Yes,Yes
Cinnamon,Yes,Yes,Yes
Cloudberry,No,No,Yes
Cloves,Yes,Yes,Yes
Cocoa,Yes,Yes,Yes
Coconut,Yes,Yes,Yes
Coconut sugar,No,Yes,Yes
Coffee,Yes,Yes,Yes
Cognac,Yes,Yes,Yes
Cointreau,Yes,Yes,Yes
Condensed milk,Yes,Yes,Yes
Coriander seed,No,Yes,Yes
Corn,No,Yes,Yes
Courgette,No,Yes,Yes
Couscous,No,Yes,Yes
Cranberry,Yes,Yes,Yes
Cream,Yes,Yes,Yes
Cream cheese,No,Yes,Yes
Creme fraiche,No,Yes,Yes
Cucumber,Yes,Yes,Yes
Cumin,Yes,Yes,Yes
Currant,No,Yes,Yes
Curry,No,Yes,Yes
Dark chocolate,Yes,Yes,Yes
Dark rum,Yes,Yes,Yes
Date,No,Yes,Yes
Dill,No,Yes,Yes
Dry vermouth,Yes,No,No
Edamame,No,Yes,No
Egg plant,No,Yes,No
Elderberry,No,Yes,Yes
Elderflower,Yes,Yes,Yes
Fennel,No,Yes,Yes
Fennel seed,No,Yes,Yes
Fernet Branca,Yes,No,No
Feta,No,Yes,No
Fig,No,Yes,Yes
Fish sauce,No,Yes,Yes
Flatleaf Parsley,No,Yes,Yes
Flaxseed,No,Yes,Yes
Garam masala,No,Yes,Yes
Garlic,Yes,Yes,Yes
Gin,Yes,Yes,Yes
Ginger,Yes,Yes,Yes
Ginger ale,Yes,No,No
Ginger beer,Yes,No,No
Goat cheese,No,Yes,Yes
Gooseberry,No,Yes,Yes
Grand Marnier,Yes,Yes,Yes
Grapefruit,Yes,Yes,Yes
Green chartreuse,Yes,No,No
Grenadine,Yes,No,No
Hazelnut,No,Yes,Yes
Honey,Yes,Yes,Yes
Jamón,No,Yes,No
Kahlua,Yes,No,Yes
