Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Almond,Nut
2,Pepper,Spices,Vanilla,Herbs
3,Sesame seed,Seeds,Hazelnut,Nut
4,Honey,Sugars,Pumpkin seed,Seeds
5,Almond,Nut,Sesame seed,Seeds
6,Cinnamon,Spices,Cocoa,Other
7,Date,Fruits,Coconut,Nut
8,Pumpkin seed,Seeds,Chia seed,Seeds
9,Banana,Fruits,Cinnamon,Spices
10,Cardamom,Spices,Date,Fruits
11,Garlic,Herbs,Ginger,Herbs
12,Nutmeg,Spices,Honey,Sugars
13,Spinach,Spices,Lemon,Fruits
14,Vanilla,Herbs,Olive oil,Oils
15,Bacon,Meats,Apple,Fruits
16,Cucumber,Vegetables,Apricot,Fruits
17,Sourdough,Other,Banana,Fruits
18,Sundried tomato,Vegetables,Caraway,Spices
19,Tomato,Vegetables,Cardamom,Spices
20,Basil,Herbs,Cranberry,Berries
21,Beef,Meats,Cream cheese,Cheeses
22,Blueberry,Berries,Creme fraiche,Dairy
23,Brocolli,Vegetables,Dark chocolate,Other
24,Buttermilk,Dairy,Fennel,Vegetables
25,Caraway,Spices,Licorice,Candy
26,Cheddar,Cheeses,Marzipan,Other
27,Chia seed,Seeds,Orange,Fruits
28,Chili,Herbs,Peach,Fruits
29,Chorizo,Meats,Rhubarb,Fruits
30,Cranberry,Berries,Rye bread,Other
31,Creme fraiche,Dairy,Sourdough,Other
32,Dill,Herbs,Turmeric,Spices
33,Edamame,Vegetables,White chocolate,Other
34,Hazelnut,Nut,,
35,Ketchup,Condiments,,
36,Lemon,Fruits,,
37,Licorice,Candy,,
38,Matcha tea,Beverages,,
39,Mayonnaise,Condiments,,
40,Mint,Herbs,,
41,Mozzarella,Cheeses,,
42,Onion,Vegetables,,
43,Parmesan,Dairy,,
44,Parsley,Herbs,,
45,Poppy seed,Seeds,,
46,Potato,Vegetables,,
47,Red onion,Vegetables,,
48,Salmon,Meats,,
49,Timian,Herbs,,
50,Walnut,Nut,,
51,Yoghurt,Dairy,,
