Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Ginger,Herbs
2,Ginger,Herbs,Onion,Vegetables
3,Onion,Vegetables,Turmeric,Spices
4,Chili,Herbs,Chili,Herbs
5,Cilantro,Herbs,Cilantro,Herbs
6,Cumin,Spices,Courgette,Vegetables
7,Tomato,Vegetables,Cream,Dairy
8,Olive oil,Oils,Cumin,Spices
9,Turmeric,Spices,Garlic,Herbs
10,Yoghurt,Dairy,Lemon,Fruits
11,Cardamom,Spices,Olive oil,Oils
12,Cloves,Spices,Tomato,Vegetables
13,Lemon,Fruits,,
14,Lime,Fruits,,
15,Pepper,Spices,,
16,Potato,Vegetables,,
17,Red onion,Vegetables,,
18,Almond,Nut,,
19,Bay leaf,Herbs,,
20,Cauliflower,Vegetables,,
21,Cayenne pepper,Spices,,
22,Celery,Vegetables,,
23,Chicken,Meats,,
24,Chick pea,Vegetables,,
25,Cinnamon,Spices,,
26,Coconut,Nut,,
27,Coriander seed,Other,,
28,Cream,Dairy,,
29,Cucumber,Vegetables,,
30,Curry,Spices,,
31,Fennel seed,Spices,,
32,Mint,Herbs,,
33,Parsley,Herbs,,
34,Pea,Vegetables,,
35,Rice,Other,,
36,Spinach,Spices,,
37,Apple cider vinegar,Vinegars,,
38,Avocado,Vegetables,,
39,Bell pepper,Vegetables,,
40,Caraway,Spices,,
41,Carrot,Other,,
42,Cherry,Berries,,
43,Chicken stock,Other,,
44,Coconut sugar,Sugars,,
45,Courgette,Vegetables,,
46,Creme fraiche,Dairy,,
47,Egg plant,Vegetables,,
48,Feta,Cheeses,,
49,Flatleaf Parsley,Herbs,,
50,Honey,Sugars,,
51,Leek,Vegetables,,
52,Mayonnaise,Condiments,,
53,Mozzarella,Cheeses,,
54,Mushroom,Vegetables,,
55,Mustard,Condiments,,
56,Nutmeg,Spices,,
57,Paprika,Spices,,
58,Parsley root,Vegetables,,
59,Red cabbage,Vegetables,,
60,Salad,Other,,
61,Shallot,Vegetables,,
62,Smoked paprika,Spices,,
63,Spring onion,Vegetables,,
64,Star anise,Spices,,
65,Sweet potato,Vegetables,,
66,Timian,Herbs,,
67,Vegetable stock,Other,,
68,White wine vinegar,Vinegars,,
69,Zucchini,Vegetables,,
