Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Creme fraiche,Dairy,Cinnamon,Spices
2,Lime,Fruits,Garlic,Herbs,Cloves,Spices
3,Orange,Fruits,Lemon,Fruits,Lemon,Fruits
4,Sweet vermouth,Alcohol,Mustard,Condiments,Vanilla,Herbs
5,Campari,Alcohol,Onion,Vegetables,,
6,Dry vermouth,Alcohol,Parsley,Herbs,,
7,Mint,Herbs,Pepper,Spices,,
8,Angostura,Alcohol,Spring onion,Vegetables,,
9,Cointreau,Liqueurs,,,,
10,Orange bitter,Alcohol,,,,
11,Vodka,Alcohol,,,,
12,Cherry,Berries,,,,
13,Lillet blanc,Alcohol,,,,
14,Maraschino liqueur,Alcohol,,,,
15,Rosemary,Herbs,,,,
16,Rum,Alcohol,,,,
17,Aperol,Alcohol,,,,
18,Beer,Alcohol,,,,
19,Blue curaçao,Alcohol,,,,
20,Bourbon,Alcohol,,,,
21,Cranberry,Berries,,,,
22,Cream,Dairy,,,,
23,Cucumber,Vegetables,,,,
24,Fernet Branca,Alcohol,,,,
25,Ginger,Herbs,,,,
26,Grapefruit,Fruits,,,,
27,Green chartreuse,Alcohol,,,,
28,Honey,Sugars,,,,
29,Orgeat syrup,Other,,,,
30,Pineapple,Fruits,,,,
31,Raspberry,Berries,,,,
32,Tequila,Alcohol,,,,
33,Tonic,Beverages,,,,
34,Absinthe,Alcohol,,,,
35,Amaretto,Alcohol,,,,
36,Balsamic vinegar,Vinegars,,,,
37,Bénédictine,Alcohol,,,,
38,Bergamot,Fruits,,,,
39,Blackberry,Berries,,,,
40,Carrot,Other,,,,
41,Celery,Vegetables,,,,
42,Champagne,Alcohol,,,,
43,Elderflower,Herbs,,,,
44,Ginger beer,Beverages,,,,
45,Grand Marnier,Alcohol,,,,
46,Grenadine,Beverages,,,,
47,Light rum,Alcohol,,,,
48,Mango,Fruits,,,,
49,Mezcal,Alcohol,,,,
50,Nutmeg,Spices,,,,
51,Orange curaçao,Alcohol,,,,
52,Parsley,Herbs,,,,
53,Pear,Fruits,,,,
54,Peychaud's Bitters,Alcohol,,,,
55,Pomegranate,Fruits,,,,
56,Sage,Herbs,,,,
57,St. Germain,Alcohol,,,,
58,Star anise,Spices,,,,
59,Strawberry,Berries,,,,
60,Tomato,Vegetables,,,,
61,Vanilla,Herbs,,,,
62,Worcestershire sauce,Condiments,,,,
63,Yellow chartreuse,Alcohol,,,,
