Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Condensed milk,Dairy
2,Pepper,Spices,Dark chocolate,Other
3,Honey,Sugars,Lime,Fruits
4,Bread,Other,Marzipan,Other
5,Almond,Nut,Milk chocolate,Other
6,Apple cider vinegar,Vinegars,Pear,Fruits
7,Mustard,Condiments,Vanilla,Herbs
8,Pomegranate,Fruits,White chocolate,Other
9,Spinach,Spices,,
10,Strawberry,Berries,,
11,Timian,Herbs,,
12,Apple,Fruits,,
13,Arugula,Vegetables,,
14,Asparagus,Vegetables,,
15,Bacon,Meats,,
16,Basil,Herbs,,
17,Bay leaf,Herbs,,
18,Blueberry,Berries,,
19,Carrot,Other,,
20,Creme fraiche,Dairy,,
21,Dill,Herbs,,
22,Fennel,Vegetables,,
23,Garlic,Herbs,,
24,Jamón,Meats,,
25,Leek,Vegetables,,
26,Lemon,Fruits,,
27,Parsley,Herbs,,
28,Pointed cabbage,Vegetables,,
29,Potato,Vegetables,,
30,Rye bread,Other,,
31,Spring onion,Vegetables,,
32,Tomato,Vegetables,,
33,White wine,Alcohol,,
