Rank,Savory,Category,Sweet,Category
1,Almond,Nut,Vanilla,Herbs
2,Apple cider vinegar,Vinegars,Lemon,Fruits
3,Feta,Cheeses,Dark chocolate,Other
4,Garlic,Herbs,Hazelnut,Nut
5,Olive oil,Oils,White chocolate,Other
6,Pepper,Spices,Almond,Nut
7,Redcurrant,Berries,Elderflower,Herbs
8,,,Marzipan,Other
9,,,Cinnamon,Spices
10,,,Condensed milk,Dairy
11,,,Amaretto,Alcohol
12,,,Apricot,Fruits
13,,,Blackcurrant,Berries
14,,,Champagne,Alcohol
15,,,Chestnut,Nut
16,,,Coconut,Nut
17,,,Creme fraiche,Dairy
18,,,Ginger,Herbs
19,,,Honey,Sugars
20,,,Lime,Fruits
21,,,Passionfruit,Fruits
22,,,Pecan,Nut
23,,,Pistachio,Nut
24,,,Raspberry,Berries
25,,,Redcurrant,Berries
26,,,Rhubarb,Fruits
27,,,Strawberry,Berries
28,,,Vodka,Alcohol
29,,,Wood sorrel,Herbs
