Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Almond,Nut,Orange,Fruits
2,Orange,Fruits,Honey,Sugars,Vanilla,Herbs
3,Lime,Fruits,Orange,Fruits,Dark chocolate,Other
4,Bénédictine,Alcohol,Vanilla,Herbs,Cocoa,Other
5,Nutmeg,Spices,,,Marzipan,Other
6,Pineapple,Fruits,,,Almond,Nut
7,Tequila,Alcohol,,,Cloves,Spices
8,Angostura,Alcohol,,,Lemon,Fruits
9,Bourbon,Alcohol,,,White chocolate,Other
10,Calvados,Alcohol,,,Buttermilk,Dairy
11,Champagne,Alcohol,,,Cinnamon,Spices
12,Cherry,Berries,,,Ginger,Herbs
13,Cinnamon,Spices,,,Hazelnut,Nut
14,Cloves,Spices,,,Honey,Sugars
15,Coffee,Beverages,,,Apricot,Fruits
16,Cognac,Alcohol,,,Lime,Fruits
17,Gin,Alcohol,,,Maple syrup,Sugars
18,Grenadine,Beverages,,,Marshmallow,Candy
19,Honey,Sugars,,,Nougat,Other
20,Light rum,Alcohol,,,Beer,Alcohol
21,Red wine,Alcohol,,,Blueberry,Berries
22,Strawberry,Berries,,,Cardamom,Spices
23,Whipped Cream,Dairy,,,Carrot,Other
24,White wine,Alcohol,,,Coffee,Beverages
25,,,,,Creme fraiche,Dairy
26,,,,,Elderflower,Herbs
27,,,,,Lemongrass,Herbs
28,,,,,Mascarpone,Cheeses
29,,,,,Pecan,Nut
30,,,,,Pepper,Spices
31,,,,,Raisin,Fruits
32,,,,,Raspberry,Berries
33,,,,,Saffron,Herbs
34,,,,,Strawberry,Berries
35,,,,,Tarragon,Herbs
36,,,,,Vodka,Alcohol
37,,,,,Walnut,Nut
