Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Carrot,Other,Lemon,Fruits
2,Lemon,Fruits,Chili,Herbs,Pistachio,Nut
3,Orange,Fruits,Avocado,Vegetables,Vanilla,Herbs
4,Agave nectar,Sugars,Cucumber,Vegetables,Almond,Nut
5,Angostura,Alcohol,Ginger,Herbs,Orange,Fruits
6,Aperol,Alcohol,Honey,Sugars,White chocolate,Other
7,Cointreau,Liqueurs,Lemon,Fruits,Hazelnut,Nut
8,Gin,Alcohol,Olive oil,Oils,Marzipan,Other
9,Green chartreuse,Alcohol,Orange,Fruits,Strawberry,Berries
10,Honey,Sugars,Apple,Fruits,Blueberry,Berries
11,Light rum,Alcohol,Apple cider vinegar,Vinegars,Creme fraiche,Dairy
12,Maraschino liqueur,Alcohol,Arugula,Vegetables,Dark chocolate,Other
13,Mint,Herbs,Balsamic vinegar,Vinegars,Elderflower,Herbs
14,Orgeat syrup,Other,Blackberry,Berries,Lime,Fruits
15,Rosemary,Herbs,Fish sauce,Other,Marshmallow,Candy
16,Tequila,Alcohol,Garlic,Herbs,Mascarpone,Cheeses
17,Bourbon,Alcohol,Lime,Fruits,Mint,Herbs
18,Peychaud's Bitters,Alcohol,Maple syrup,Sugars,Pepper,Spices
19,St. Germain,Alcohol,Mayonnaise,Condiments,Rosewater,Other
20,Tomato,Vegetables,Onion,Vegetables,Tequila,Alcohol
21,Yellow chartreuse,Alcohol,Pineapple,Fruits,Walnut,Nut
22,Beer,Alcohol,Pointed cabbage,Vegetables,Wood sorrel,Herbs
23,Cranberry,Berries,Pomegranate,Fruits,Yuzu,Fruits
24,Cream,Dairy,Portwine,Alcohol,,
25,Dry vermouth,Alcohol,Red wine,Alcohol,,
26,Ginger beer,Beverages,Timian,Herbs,,
27,Maple syrup,Sugars,Yoghurt,Dairy,,
28,Orange bitter,Alcohol,,,,
29,Pepper,Spices,,,,
30,Pineapple,Fruits,,,,
31,Raspberry,Berries,,,,
32,Smoked paprika,Spices,,,,
33,Star anise,Spices,,,,
34,Vodka,Alcohol,,,,
