Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Vanilla,Herbs
2,Garlic,Herbs,Dark chocolate,Other
3,Olive oil,Oils,Lemon,Fruits
4,Dark chocolate,Other,White chocolate,Other
5,Honey,Sugars,Cocoa,Other
6,Lemon,Fruits,Almond,Nut
7,Onion,Vegetables,Marzipan,Other
8,Mushroom,Vegetables,Milk chocolate,Other
9,Parmesan,Dairy,Honey,Sugars
10,Timian,Herbs,Lime,Fruits
11,Bay leaf,Herbs,Orange,Fruits
12,Cinnamon,Spices,Raspberry,Berries
13,Nougat,Other,Cinnamon,Spices
14,Parsley,Herbs,Creme fraiche,Dairy
15,Rosemary,Herbs,Nougat,Other
16,Allspice,Spices,Pistachio,Nut
17,Almond,Nut,Apple,Fruits
18,Apple,Fruits,Apricot,Fruits
19,Basil,Herbs,Blackberry,Berries
20,Cardamom,Spices,Blackcurrant,Berries
21,Carrot,Other,Blueberry,Berries
22,Chili,Herbs,Buttermilk,Dairy
23,Cloves,Spices,Cardamom,Spices
24,Cranberry,Berries,Cloves,Spices
25,Cumin,Spices,Coconut,Nut
26,Date,Fruits,Coffee,Beverages
27,Fennel,Vegetables,Condensed milk,Dairy
28,Ginger,Herbs,Cream cheese,Cheeses
29,Kale,Vegetables,Ginger,Herbs
30,Leek,Vegetables,Marshmallow,Candy
31,Marzipan,Other,Mascarpone,Cheeses
32,Milk chocolate,Other,Nutella,Other
33,Mustard,Condiments,Passionfruit,Fruits
34,Nutmeg,Spices,Redcurrant,Berries
35,Pointed cabbage,Vegetables,Rhubarb,Fruits
36,Potato,Vegetables,Strawberry,Berries
37,Pumpkin,Vegetables,Walnut,Nut
38,Raspberry,Berries,Wood sorrel,Herbs
39,Red cabbage,Vegetables,Yoghurt,Dairy
40,Red onion,Vegetables,Amaretto,Alcohol
41,Rye bread,Other,Avocado,Vegetables
42,Sesame seed,Seeds,Baileys,Alcohol
43,Shallot,Vegetables,Balsamic vinegar,Vinegars
44,Vanilla,Herbs,Banana,Fruits
45,White chocolate,Other,Basil,Herbs
46,Apple cider vinegar,Vinegars,Brown cheese,Cheeses
47,Arugula,Vegetables,Carrot,Other
48,Bacon,Meats,Cashew,Nut
49,Baileys,Alcohol,Champagne,Alcohol
50,Balsamic vinegar,Vinegars,Cherry,Berries
51,Bell pepper,Vegetables,Chestnut,Nut
52,Buttermilk,Dairy,Chia seed,Seeds
53,Cauliflower,Vegetables,Chokeberry,Berries
54,Celeriac,Vegetables,Cloudberry,Berries
55,Chicken stock,Other,Cognac,Alcohol
56,Chick pea,Vegetables,Coriander seed,Other
57,Chive,Herbs,Cranberry,Berries
58,Cilantro,Herbs,Dark rum,Alcohol
59,Coconut,Nut,Date,Fruits
60,Cream,Dairy,Elderflower,Herbs
61,Cream cheese,Cheeses,Fig,Fruits
62,Creme fraiche,Dairy,Flaxseed,Seeds
63,Curry,Spices,Gooseberry,Berries
64,Egg plant,Vegetables,Grand Marnier,Alcohol
65,Flatleaf Parsley,Herbs,Grapefruit,Fruits
66,Flaxseed,Seeds,Kiwi,Berries
67,Licorice,Candy,Lavender,Herbs
68,Mango,Fruits,Lemon balm,Herbs
69,Mint,Herbs,Licorice,Candy
70,Mozzarella,Cheeses,Mango,Fruits
71,Pasta,Other,Maple syrup,Sugars
72,Pine nut,Nut,Mint,Herbs
73,Pomegranate,Fruits,Nutmeg,Spices
74,Poppy seed,Seeds,Olive oil,Oils
75,Pumpkin seed,Seeds,Peach,Fruits
76,Rice,Other,Peanit,Nut
77,Ricotta,Cheeses,Pear,Fruits
78,Saffron,Herbs,Pecan,Nut
79,Sage,Herbs,Pepper,Spices
80,Smoked paprika,Spices,Pineapple,Fruits
81,Sourdough,Other,Plum,Berries
82,Soy,Other,Pomegranate,Fruits
83,Spinach,Spices,Portwine,Alcohol
84,Spring onion,Vegetables,Pumpkin,Vegetables
85,Star anise,Spices,Pumpkin seed,Seeds
86,Tahin,Other,Raisin,Fruits
87,Tomato,Vegetables,Rum,Alcohol
88,Turmeric,Spices,Rye bread,Other
89,Vegetable stock,Other,Saffron,Herbs
90,Walnut,Nut,Sea buckthorn,Berries
91,White wine,Alcohol,Sesame seed,Seeds
92,Yoghurt,Dairy,Timian,Herbs
93,,,Turmeric,Spices
94,,,Vodka,Alcohol
95,,,Yuzu,Fruits
