Rank,Savory,Category
1,Garlic,Herbs
2,Pepper,Spices
3,Timian,Herbs
4,Mustard,Condiments
5,Olive oil,Oils
6,Onion,Vegetables
7,Tomato,Vegetables
8,Basil,Herbs
9,Honey,Sugars
10,Parmesan,Dairy
11,Almond,Nut
12,Apple,Fruits
13,Arugula,Vegetables
14,Carrot,Other
15,Cheddar,Cheeses
16,Cinnamon,Spices
17,Creme fraiche,Dairy
18,Goat cheese,Cheeses
19,Lemon,Fruits
20,Mozzarella,Cheeses
21,Mushroom,Vegetables
22,Oragano,Herbs
23,Paprika,Spices
24,Parsley,Herbs
25,Pine nut,Nut
26,Pointed cabbage,Vegetables
27,Potato,Vegetables
28,Rosemary,Herbs
29,Rye bread,Other
30,Sesame seed,Seeds
31,Spinach,Spices
32,Spring onion,Vegetables
33,Strawberry,Berries
34,Sundried tomato,Vegetables
35,Yoghurt,Dairy
