Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Balsamic vinegar,Vinegars
2,Garlic,Herbs,Leek,Vegetables
3,Onion,Vegetables,Olive oil,Oils
4,Pepper,Spices,,
5,Honey,Sugars,,
6,Lemon,Fruits,,
7,Mustard,Condiments,,
8,Potato,Vegetables,,
9,Red onion,Vegetables,,
10,Carrot,Other,,
11,Chili,Herbs,,
12,Leek,Vegetables,,
13,Timian,Herbs,,
14,Almond,Nut,,
15,Apple,Fruits,,
16,Apple cider vinegar,Vinegars,,
17,Arugula,Vegetables,,
18,Bacon,Meats,,
19,Balsamic vinegar,Vinegars,,
20,Bay leaf,Herbs,,
21,Beer,Alcohol,,
22,Bell pepper,Vegetables,,
23,Brocolli,Vegetables,,
24,Butternut squash,Vegetables,,
25,Cauliflower,Vegetables,,
26,Chicken,Meats,,
27,Chicken stock,Other,,
28,Cilantro,Herbs,,
29,Cranberry,Berries,,
30,Cream,Dairy,,
31,Cream cheese,Cheeses,,
32,Cumin,Spices,,
33,Egg plant,Vegetables,,
34,Fennel,Vegetables,,
35,Feta,Cheeses,,
36,Flatleaf Parsley,Herbs,,
37,Ginger,Herbs,,
38,Hazelnut,Nut,,
39,Nutmeg,Spices,,
40,Orange,Fruits,,
41,Parmesan,Dairy,,
42,Parsley,Herbs,,
43,Pea,Vegetables,,
44,Pomegranate,Fruits,,
45,Pumpkin,Vegetables,,
46,Pumpkin seed,Seeds,,
47,Rosemary,Herbs,,
48,Spinach,Spices,,
49,Sweet potato,Vegetables,,
50,Tomato,Vegetables,,
51,Walnut,Nut,,
52,White wine,Alcohol,,
53,Yoghurt,Dairy,,
54,Apricot,Fruits,,
55,Avocado,Vegetables,,
56,Banana,Fruits,,
57,Beef,Meats,,
58,Beetroot,Vegetables,,
59,Blood orange,Fruits,,
60,Buttermilk,Dairy,,
61,Celeriac,Vegetables,,
62,Celery,Vegetables,,
63,Chick pea,Vegetables,,
64,Chive,Herbs,,
65,Chorizo,Meats,,
66,Creme fraiche,Dairy,,
67,Cucumber,Vegetables,,
68,Dark rum,Alcohol,,
69,Edamame,Vegetables,,
70,Fish sauce,Other,,
71,Mascarpone,Cheeses,,
72,Mayonnaise,Condiments,,
73,Mint,Herbs,,
74,Mozzarella,Cheeses,,
75,Mushroom,Vegetables,,
76,Noodle,Other,,
77,Paprika,Spices,,
78,Parsley root,Vegetables,,
79,Peanit,Nut,,
80,Pecan,Nut,,
81,Pine nut,Nut,,
82,Pineapple,Fruits,,
83,Pointed cabbage,Vegetables,,
84,Raspberry,Berries,,
85,Rye bread,Other,,
86,Sage,Herbs,,
87,Sesame seed,Seeds,,
88,Shallot,Vegetables,,
89,Smoked paprika,Spices,,
90,Spring onion,Vegetables,,
91,Turmeric,Spices,,
92,Vanilla,Herbs,,
93,White wine vinegar,Vinegars,,
