Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Soy,Other
2,Olive oil,Oils,Bacon,Meats
3,Onion,Vegetables,Bell pepper,Vegetables
4,Pepper,Spices,Cream cheese,Cheeses
5,Tomato,Vegetables,Honey,Sugars
6,Mustard,Condiments,Maple syrup,Sugars
7,Paprika,Spices,Pecan,Nut
8,Soy,Other,Red onion,Vegetables
9,Worcestershire sauce,Condiments,Smoked paprika,Spices
10,Apple cider vinegar,Vinegars,Spring onion,Vegetables
11,Beef,Meats,White wine vinegar,Vinegars
12,Carrot,Other,,
13,Chili,Herbs,,
14,Cumin,Spices,,
15,Ginger,Herbs,,
16,Honey,Sugars,,
17,Lemon,Fruits,,
18,Mayonnaise,Condiments,,
19,Red onion,Vegetables,,
20,Smoked paprika,Spices,,
21,Avocado,Vegetables,,
22,Bacon,Meats,,
23,Balsamic vinegar,Vinegars,,
24,Cayenne pepper,Spices,,
25,Cheddar,Cheeses,,
26,Cinnamon,Spices,,
27,Coconut,Nut,,
28,Creme fraiche,Dairy,,
29,Cucumber,Vegetables,,
30,Lime,Fruits,,
31,Oragano,Herbs,,
32,Parmesan,Dairy,,
33,Parsley,Herbs,,
34,Potato,Vegetables,,
35,Red wine,Alcohol,,
36,Rice,Other,,
37,Sesame seed,Seeds,,
38,Spring onion,Vegetables,,
39,Timian,Herbs,,
40,White wine,Alcohol,,
41,White wine vinegar,Vinegars,,
42,Anchovy,Meats,,
43,Basil,Herbs,,
44,Bay leaf,Herbs,,
45,Bean sprout,Vegetables,,
46,Beef stock,Other,,
47,Bell pepper,Vegetables,,
48,Brocolli,Vegetables,,
49,Capers,Other,,
50,Cardamom,Spices,,
51,Celery,Vegetables,,
52,Chicken,Meats,,
53,Chive,Herbs,,
54,Cilantro,Herbs,,
55,Cocoa,Other,,
56,Dill,Herbs,,
57,Flatleaf Parsley,Herbs,,
58,Flaxseed,Seeds,,
59,Leek,Vegetables,,
60,Lemongrass,Herbs,,
61,Maple syrup,Sugars,,
62,Pea,Vegetables,,
63,Pickling vinegar,Vinegars,,
64,Plum,Berries,,
65,Rosemary,Herbs,,
66,Rye bread,Other,,
67,Sage,Herbs,,
68,Salad,Other,,
69,Sesame oil,Oils,,
70,Shallot,Vegetables,,
71,Star anise,Spices,,
72,Sundried tomato,Vegetables,,
73,Turmeric,Spices,,
74,Yoghurt,Dairy,,
