Rank,Savory,Category,Sweet,Category
1,Brocolli,Vegetables,Vanilla,Herbs
2,Ginger,Herbs,Lemon,Fruits
3,Almond,Nut,White chocolate,Other
4,Apple,Fruits,Blueberry,Berries
5,Banana,Fruits,Pineapple,Fruits
6,Cardamom,Spices,Strawberry,Berries
7,Cinnamon,Spices,Almond,Nut
8,Orange,Fruits,Chili,Herbs
9,Pear,Fruits,Cocoa,Other
10,Pineapple,Fruits,Coconut,Nut
11,Spinach,Spices,Dark chocolate,Other
12,,,Hazelnut,Nut
13,,,Mango,Fruits
14,,,Passionfruit,Fruits
15,,,Pear,Fruits
16,,,Pistachio,Nut
17,,,Raspberry,Berries
18,,,Rum,Alcohol
19,,,Yoghurt,Dairy
