Rank,Savory,Category,Sweet,Category
1,Onion,Vegetables,Balsamic vinegar,Vinegars
2,Garlic,Herbs,Kale,Vegetables
3,Carrot,Other,Olive oil,Oils
4,Olive oil,Oils,,
5,Pepper,Spices,,
6,Bay leaf,Herbs,,
7,Timian,Herbs,,
8,Celery,Vegetables,,
9,Lemon,Fruits,,
10,Parsley,Herbs,,
11,Potato,Vegetables,,
12,White wine,Alcohol,,
13,Mustard,Condiments,,
14,Tomato,Vegetables,,
15,Apple,Fruits,,
16,Bacon,Meats,,
17,Bell pepper,Vegetables,,
18,Celeriac,Vegetables,,
19,Chicken,Meats,,
20,Chicken stock,Other,,
21,Chili,Herbs,,
22,Cilantro,Herbs,,
23,Cognac,Alcohol,,
24,Cream,Dairy,,
25,Creme fraiche,Dairy,,
26,Dill,Herbs,,
27,Fennel,Vegetables,,
28,Flatleaf Parsley,Herbs,,
29,Ginger,Herbs,,
30,Honey,Sugars,,
31,Kale,Vegetables,,
32,Mushroom,Vegetables,,
33,Nutmeg,Spices,,
34,Paprika,Spices,,
35,Parmesan,Dairy,,
36,Parsley root,Vegetables,,
37,Red onion,Vegetables,,
38,Rosemary,Herbs,,
39,Saffron,Herbs,,
40,Spinach,Spices,,
41,Spring onion,Vegetables,,
42,Allspice,Spices,,
43,Apple cider vinegar,Vinegars,,
44,Arugula,Vegetables,,
45,Basil,Herbs,,
46,Bean sprout,Vegetables,,
47,Beef,Meats,,
48,Beef stock,Other,,
49,Blueberry,Berries,,
50,Brandy,Alcohol,,
51,Bread,Other,,
52,Brocolli,Vegetables,,
53,Buttermilk,Dairy,,
54,Butternut squash,Vegetables,,
55,Caraway,Spices,,
56,Cauliflower,Vegetables,,
57,Cayenne pepper,Spices,,
58,Cheddar,Cheeses,,
59,Chestnut,Nut,,
60,Chick pea,Vegetables,,
61,Chive,Herbs,,
62,Chorizo,Meats,,
63,Cinnamon,Spices,,
64,Cloves,Spices,,
65,Coconut,Nut,,
66,Coriander seed,Other,,
67,Corn,Vegetables,,
68,Courgette,Vegetables,,
69,Couscous,Other,,
70,Cream cheese,Cheeses,,
71,Cucumber,Vegetables,,
72,Cumin,Spices,,
73,Curry,Spices,,
74,Fennel seed,Spices,,
75,Feta,Cheeses,,
76,Fish sauce,Other,,
77,Garam masala,Spices,,
78,Goat cheese,Cheeses,,
79,Hazelnut,Nut,,
80,Ketchup,Condiments,,
81,Lemongrass,Herbs,,
82,Lime,Fruits,,
83,Mascarpone,Cheeses,,
84,Mayonnaise,Condiments,,
85,Mint,Herbs,,
86,Mozzarella,Cheeses,,
87,Orange,Fruits,,
88,Pea,Vegetables,,
89,Pineapple,Fruits,,
90,Pointed cabbage,Vegetables,,
91,Pork,Meats,,
92,Portwine,Alcohol,,
93,Prune,Fruits,,
94,Red cabbage,Vegetables,,
95,Red wine,Alcohol,,
96,Rice,Other,,
97,Ricotta,Cheeses,,
98,Rye bread,Other,,
99,Salad,Other,,
100,Salmon,Meats,,
101,Schnapps,Alcohol,,
102,Sesame seed,Seeds,,
103,Shallot,Vegetables,,
104,Smoked paprika,Spices,,
105,Sourdough,Other,,
106,Soy,Other,,
107,Star anise,Spices,,
108,Sweet potato,Vegetables,,
109,Tarragon,Herbs,,
110,Turmeric,Spices,,
111,Vanilla,Herbs,,
112,Vegetable stock,Other,,
113,Walnut,Nut,,
114,Watercress,Vegetables,,
115,White wine vinegar,Vinegars,,
116,Worcestershire sauce,Condiments,,
117,Yoghurt,Dairy,,
118,Zucchini,Vegetables,,
