Rank,Savory,Category,Sweet,Category
1,Lemon,Fruits,Vanilla,Herbs
2,,,Lemon,Fruits
3,,,White chocolate,Other
4,,,Almond,Nut
5,,,Strawberry,Berries
6,,,Dark chocolate,Other
7,,,Licorice,Candy
8,,,Blackberry,Berries
9,,,Buttermilk,Dairy
10,,,Cocoa,Other
11,,,Creme fraiche,Dairy
12,,,Honey,Sugars
13,,,Lime,Fruits
14,,,Marzipan,Other
15,,,Mascarpone,Cheeses
16,,,Raspberry,Berries
17,,,Rhubarb,Fruits
18,,,Apple,Fruits
19,,,Cardamom,Spices
20,,,Cinnamon,Spices
21,,,Coconut,Nut
22,,,Coconut sugar,Sugars
23,,,Condensed milk,Dairy
24,,,Cream cheese,Cheeses
25,,,Hazelnut,Nut
26,,,Lemongrass,Herbs
27,,,Mango,Fruits
28,,,Marshmallow,Candy
29,,,Passionfruit,Fruits
30,,,Pear,Fruits
31,,,Pistachio,Nut
32,,,Poppy seed,Seeds
33,,,Redcurrant,Berries
34,,,Rum,Alcohol
35,,,Walnut,Nut
