Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Angostura,Alcohol,Olive oil,Oils,Vanilla,Herbs
2,Gin,Alcohol,Garlic,Herbs,Almond,Nut
3,Orange,Fruits,Pepper,Spices,White chocolate,Other
4,Mint,Herbs,Onion,Vegetables,Marzipan,Other
5,Bourbon,Alcohol,Mustard,Condiments,Dark chocolate,Other
6,Cinnamon,Spices,Parsley,Herbs,Cinnamon,Spices
7,Cointreau,Liqueurs,Carrot,Other,Cocoa,Other
8,Honey,Sugars,Chili,Herbs,Hazelnut,Nut
9,Lime,Fruits,Creme fraiche,Dairy,Raspberry,Berries
10,Orange bitter,Alcohol,Cumin,Spices,Apple,Fruits
11,Vodka,Alcohol,Honey,Sugars,Cardamom,Spices
12,Cherry,Berries,Potato,Vegetables,Cream cheese,Cheeses
13,Dry vermouth,Alcohol,Red onion,Vegetables,Creme fraiche,Dairy
14,Grapefruit,Fruits,Tomato,Vegetables,Honey,Sugars
15,Nutmeg,Spices,Apple,Fruits,Lime,Fruits
16,Peychaud's Bitters,Alcohol,Arugula,Vegetables,Orange,Fruits
17,Rye whiskey,Alcohol,Avocado,Vegetables,Strawberry,Berries
18,Strawberry,Berries,Basil,Herbs,Apricot,Fruits
19,Tequila,Alcohol,Bay leaf,Herbs,Blackberry,Berries
20,Absinthe,Alcohol,Bell pepper,Vegetables,Blackcurrant,Berries
21,Agave nectar,Sugars,Capers,Other,Blueberry,Berries
22,Aperol,Alcohol,Celery,Vegetables,Buttermilk,Dairy
23,Apple,Fruits,Chive,Herbs,Cloves,Spices
24,Apple cider,Alcohol,Cilantro,Herbs,Coconut,Nut
25,Beer,Alcohol,Cinnamon,Spices,Coffee,Beverages
26,Bénédictine,Alcohol,Cucumber,Vegetables,Condensed milk,Dairy
27,Blue curaçao,Alcohol,Dill,Herbs,Elderflower,Herbs
28,Brandy,Alcohol,Egg plant,Vegetables,Ginger,Herbs
29,Calvados,Alcohol,Flatleaf Parsley,Herbs,Licorice,Candy
30,Campari,Alcohol,Ginger,Herbs,Marshmallow,Candy
31,Celery,Vegetables,Leek,Vegetables,Mascarpone,Cheeses
32,Cloves,Spices,Mayonnaise,Condiments,Milk chocolate,Other
33,Cognac,Alcohol,Mint,Herbs,Mint,Herbs
34,Ginger,Herbs,Nutmeg,Spices,Olive oil,Oils
35,Ginger beer,Beverages,Orange,Fruits,Passionfruit,Fruits
36,Grand Marnier,Alcohol,Paprika,Spices,Pistachio,Nut
37,Green chartreuse,Alcohol,Parmesan,Dairy,Redcurrant,Berries
