Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Ginger,Herbs,Ginger,Herbs,White chocolate,Other
2,Lime,Fruits,Garlic,Herbs,Coconut,Nut
3,Tequila,Alcohol,Lime,Fruits,Lemon,Fruits
4,,,Cilantro,Herbs,Vanilla,Herbs
5,,,Onion,Vegetables,Lime,Fruits
6,,,Chili,Herbs,Apple,Fruits
7,,,Coconut,Nut,Cream cheese,Cheeses
8,,,Fish sauce,Other,Dark chocolate,Other
9,,,Olive oil,Oils,Ginger,Herbs
10,,,Spring onion,Vegetables,Grand Marnier,Alcohol
11,,,Chicken,Meats,Honey,Sugars
12,,,Basil,Herbs,Lemon balm,Herbs
13,,,Bell pepper,Vegetables,Mint,Herbs
14,,,Carrot,Other,Orange,Fruits
15,,,Coconut sugar,Sugars,Passionfruit,Fruits
16,,,Cucumber,Vegetables,Pear,Fruits
17,,,Honey,Sugars,Pineapple,Fruits
18,,,Mint,Herbs,Rhubarb,Fruits
19,,,Mushroom,Vegetables,Rum,Alcohol
20,,,Pepper,Spices,,
21,,,Apple cider vinegar,Vinegars,,
22,,,Bean sprout,Vegetables,,
23,,,Cardamom,Spices,,
24,,,Cashew,Nut,,
25,,,Cinnamon,Spices,,
26,,,Leek,Vegetables,,
27,,,Lemon,Fruits,,
28,,,Peanit,Nut,,
29,,,Peanut butter,Nut,,
30,,,Red onion,Vegetables,,
31,,,Sesame seed,Seeds,,
32,,,Tomato,Vegetables,,
33,,,Turmeric,Spices,,
34,,,Arugula,Vegetables,,
35,,,Beef,Meats,,
36,,,Capers,Other,,
37,,,Celery,Vegetables,,
38,,,Cheddar,Cheeses,,
39,,,Chicken stock,Other,,
40,,,Chive,Herbs,,
41,,,Cloves,Spices,,
42,,,Cocoa,Other,,
43,,,Cumin,Spices,,
44,,,Dill,Herbs,,
45,,,Ketchup,Condiments,,
46,,,Maple syrup,Sugars,,
47,,,Mustard,Condiments,,
48,,,Noodle,Other,,
49,,,Pistachio,Nut,,
50,,,Plum,Berries,,
51,,,Red cabbage,Vegetables,,
52,,,Rice,Other,,
53,,,Rosemary,Herbs,,
54,,,Smoked paprika,Spices,,
55,,,Soy,Other,,
56,,,Star anise,Spices,,
57,,,Worcestershire sauce,Condiments,,
