Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Orange,Fruits,Blueberry,Berries,Vanilla,Herbs
2,Cardamom,Spices,Almond,Nut,White chocolate,Other
3,Cinnamon,Spices,Honey,Sugars,Almond,Nut
4,Cloves,Spices,Marzipan,Other,Dark chocolate,Other
5,Cointreau,Liqueurs,Vanilla,Herbs,Lemon,Fruits
6,Dark rum,Alcohol,Allspice,Spices,Raspberry,Berries
7,Honey,Sugars,Banana,Fruits,Cocoa,Other
8,Schnapps,Alcohol,Cardamom,Spices,Marzipan,Other
9,Star anise,Spices,Cinnamon,Spices,Banana,Fruits
10,Vanilla,Herbs,Cloves,Spices,Condensed milk,Dairy
11,,,Cocoa,Other,Ginger,Herbs
12,,,Dark chocolate,Other,Lime,Fruits
13,,,Dark rum,Alcohol,Rhubarb,Fruits
14,,,Fennel,Vegetables,Apple,Fruits
15,,,Flaxseed,Seeds,Apple cider vinegar,Vinegars
16,,,Ginger,Herbs,Blackberry,Berries
17,,,Hazelnut,Nut,Blackcurrant,Berries
18,,,Lemon,Fruits,Blueberry,Berries
19,,,Nougat,Other,Buttermilk,Dairy
20,,,Nutmeg,Spices,Cardamom,Spices
21,,,Orange,Fruits,Cinnamon,Spices
22,,,Pear,Fruits,Cloves,Spices
23,,,Pepper,Spices,Coconut,Nut
24,,,Portwine,Alcohol,Creme fraiche,Dairy
25,,,Schnapps,Alcohol,Date,Fruits
26,,,Star anise,Spices,Elderflower,Herbs
27,,,White chocolate,Other,Hazelnut,Nut
28,,,,,Honey,Sugars
29,,,,,Lemon balm,Herbs
30,,,,,Marshmallow,Candy
31,,,,,Mascarpone,Cheeses
32,,,,,Orange,Fruits
33,,,,,Pepper,Spices
34,,,,,Pistachio,Nut
35,,,,,Redcurrant,Berries
36,,,,,Star anise,Spices
37,,,,,Strawberry,Berries
38,,,,,Turmeric,Spices
39,,,,,Vodka,Alcohol
40,,,,,Walnut,Nut
41,,,,,Yoghurt,Dairy
42,,,,,Beetroot,Vegetables
43,,,,,Cherry,Berries
44,,,,,Chia seed,Seeds
45,,,,,Coffee,Beverages
46,,,,,Cream cheese,Cheeses
47,,,,,Fig,Fruits
48,,,,,Flaxseed,Seeds
49,,,,,Lychee,Fruits
50,,,,,Milk chocolate,Other
51,,,,,Mint,Herbs
52,,,,,Olive oil,Oils
53,,,,,Passionfruit,Fruits
54,,,,,Peach,Fruits
55,,,,,Pecan,Nut
56,,,,,Peppermint,Herbs
57,,,,,Prune,Fruits
58,,,,,Rum,Alcohol
59,,,,,Sea buckthorn,Berries
60,,,,,Watermelon,Fruits
61,,,,,Wood sorrel,Herbs
