Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Cinnamon,Spices,Plum,Berries
2,Pineapple,Fruits,Lemon,Fruits,Vanilla,Herbs
3,Lemon,Fruits,Star anise,Spices,White chocolate,Other
4,Mint,Herbs,Vanilla,Herbs,,
5,Cointreau,Liqueurs,Apple,Fruits,,
6,Orange,Fruits,Cardamom,Spices,,
7,Dark rum,Alcohol,Cloves,Spices,,
8,Grenadine,Beverages,Ginger,Herbs,,
9,Agave nectar,Sugars,Honey,Sugars,,
10,Banana,Fruits,Nutmeg,Spices,,
11,Blue curaçao,Alcohol,Orange,Fruits,,
12,Cinnamon,Spices,Pepper,Spices,,
13,Cognac,Alcohol,White wine,Alcohol,,
14,Ginger,Herbs,,,,
15,Grapefruit,Fruits,,,,
16,Honey,Sugars,,,,
17,Kahlua,Alcohol,,,,
18,Maraschino liqueur,Alcohol,,,,
19,Nutmeg,Spices,,,,
20,Orange curaçao,Alcohol,,,,
21,Orgeat syrup,Other,,,,
22,Vodka,Alcohol,,,,
23,Blood orange,Fruits,,,,
24,Bourbon,Alcohol,,,,
25,Brandy,Alcohol,,,,
26,Cardamom,Spices,,,,
27,Cherry,Berries,,,,
28,Cloves,Spices,,,,
29,Coconut,Nut,,,,
30,Cranberry,Berries,,,,
31,Dry vermouth,Alcohol,,,,
32,Gin,Alcohol,,,,
33,Ginger ale,Beverages,,,,
34,Grand Marnier,Alcohol,,,,
35,Mango,Fruits,,,,
36,Rhubarb,Fruits,,,,
37,Star anise,Spices,,,,
38,Strawberry,Berries,,,,
39,White wine,Alcohol,,,,
