Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lemon,Fruits,Chili,Herbs,Vanilla,Herbs
2,Lime,Fruits,Cilantro,Herbs,Lime,Fruits
3,Mint,Herbs,Coconut,Nut,White chocolate,Other
4,Gin,Alcohol,Lime,Fruits,Lemon,Fruits
5,Light rum,Alcohol,Olive oil,Oils,Coconut,Nut
6,,,Pepper,Spices,Passionfruit,Fruits
7,,,Banana,Fruits,Almond,Nut
8,,,Cardamom,Spices,Dark chocolate,Other
9,,,Mint,Herbs,Pistachio,Nut
10,,,Red onion,Vegetables,Apricot,Fruits
11,,,Vanilla,Herbs,Banana,Fruits
12,,,Apple,Fruits,Cashew,Nut
13,,,Garlic,Herbs,Cinnamon,Spices
14,,,Ginger,Herbs,Cocoa,Other
15,,,Honey,Sugars,Condensed milk,Dairy
16,,,Mayonnaise,Condiments,Cream cheese,Cheeses
17,,,Onion,Vegetables,Elderflower,Herbs
18,,,Parsley,Herbs,Ginger,Herbs
19,,,Pineapple,Fruits,Hazelnut,Nut
20,,,Spring onion,Vegetables,Honey,Sugars
21,,,Turmeric,Spices,Marzipan,Other
22,,,Yoghurt,Dairy,Mint,Herbs
23,,,Almond,Nut,Orange,Fruits
24,,,Apple cider vinegar,Vinegars,Pineapple,Fruits
25,,,Apricot,Fruits,Raspberry,Berries
26,,,Arugula,Vegetables,Walnut,Nut
27,,,Avocado,Vegetables,Basil,Herbs
28,,,Bacon,Meats,Blackberry,Berries
29,,,Bay leaf,Herbs,Blueberry,Berries
30,,,Bean sprout,Vegetables,Cardamom,Spices
31,,,Blueberry,Berries,Chili,Herbs
32,,,Capers,Other,Cilantro,Herbs
33,,,Carrot,Other,Kiwi,Berries
34,,,Cayenne pepper,Spices,Lemon balm,Herbs
35,,,Chia seed,Seeds,Milk chocolate,Other
36,,,Chicken,Meats,Pear,Fruits
37,,,Chicken stock,Other,Prune,Fruits
38,,,Cinnamon,Spices,Rum,Alcohol
39,,,Cloves,Spices,Saffron,Herbs
40,,,Creme fraiche,Dairy,Sea buckthorn,Berries
41,,,Cucumber,Vegetables,Strawberry,Berries
42,,,Cumin,Spices,Toasted coconut,Nut
43,,,Curry,Spices,Yoghurt,Dairy
44,,,Dark chocolate,Other,,
45,,,Dill,Herbs,,
46,,,Fennel,Vegetables,,
47,,,Fish sauce,Other,,
48,,,Hazelnut,Nut,,
49,,,Lemon,Fruits,,
50,,,Maple syrup,Sugars,,
51,,,Mushroom,Vegetables,,
52,,,Mustard,Condiments,,
53,,,Noodle,Other,,
54,,,Peanit,Nut,,
55,,,Pear,Fruits,,
56,,,Pistachio,Nut,,
57,,,Pointed cabbage,Vegetables,,
58,,,Pomegranate,Fruits,,
59,,,Potato,Vegetables,,
60,,,Raisin,Fruits,,
61,,,Redcurrant,Berries,,
62,,,Rice,Other,,
63,,,Salmon,Meats,,
64,,,Sesame seed,Seeds,,
65,,,Smoked paprika,Spices,,
66,,,Tarragon,Herbs,,
67,,,Tomato,Vegetables,,
68,,,White wine vinegar,Vinegars,,
