Rank,Cocktail,Category
1,Lemon,Fruits
2,Lime,Fruits
3,Gin,Alcohol
4,Angostura,Alcohol
5,Cherry,Berries
6,Grapefruit,Fruits
7,Orange,Fruits
8,Orange bitter,Alcohol
9,Sweet vermouth,Alcohol
10,Pineapple,Fruits
11,Bourbon,Alcohol
12,Champagne,Alcohol
13,Cointreau,Liqueurs
14,Green chartreuse,Alcohol
15,Light rum,Alcohol
16,Mint,Herbs
17,Rye whiskey,Alcohol
18,Absinthe,Alcohol
19,Amaretto,Alcohol
20,Averna Amaro,Alcohol
21,Brandy,Alcohol
22,Cognac,Alcohol
23,Dry vermouth,Alcohol
24,Ginger ale,Beverages
25,Nutmeg,Spices
26,Peychaud's Bitters,Alcohol
27,Tequila,Alcohol
