Rank,Savory,Category,Sweet,Category
1,Saffron,Herbs,Vanilla,Herbs
2,Dark chocolate,Other,Lemon,Fruits
3,Hazelnut,Nut,Dark chocolate,Other
4,Nougat,Other,Almond,Nut
5,Licorice,Candy,White chocolate,Other
6,Raisin,Fruits,Cinnamon,Spices
7,Vanilla,Herbs,Cocoa,Other
8,Blueberry,Berries,Hazelnut,Nut
9,Cocoa,Other,Raspberry,Berries
10,Olive oil,Oils,Cardamom,Spices
11,White chocolate,Other,Honey,Sugars
12,,,Lime,Fruits
13,,,Orange,Fruits
14,,,Pistachio,Nut
15,,,Rhubarb,Fruits
16,,,Strawberry,Berries
17,,,Apple,Fruits
18,,,Apricot,Fruits
19,,,Blackberry,Berries
20,,,Blueberry,Berries
21,,,Buttermilk,Dairy
22,,,Cherry,Berries
23,,,Cloves,Spices
24,,,Coconut,Nut
25,,,Condensed milk,Dairy
26,,,Cream cheese,Cheeses
27,,,Creme fraiche,Dairy
28,,,Elderflower,Herbs
29,,,Ginger,Herbs
30,,,Licorice,Candy
31,,,Marshmallow,Candy
32,,,Mascarpone,Cheeses
33,,,Milk chocolate,Other
34,,,Nougat,Other
35,,,Raisin,Fruits
36,,,Redcurrant,Berries
37,,,Walnut,Nut
38,,,Yoghurt,Dairy
39,,,Allspice,Spices
40,,,Amaretto,Alcohol
41,,,Apple cider vinegar,Vinegars
42,,,Avocado,Vegetables
43,,,Bacon,Meats
44,,,Baileys,Alcohol
45,,,Banana,Fruits
46,,,Basil,Herbs
47,,,Blackcurrant,Berries
48,,,Brown cheese,Cheeses
49,,,Caraway,Spices
50,,,Carrot,Other
51,,,Cashew,Nut
52,,,Champagne,Alcohol
53,,,Cherry wine,Alcohol
54,,,Chestnut,Nut
55,,,Chili,Herbs
56,,,Cloudberry,Berries
57,,,Coconut sugar,Sugars
58,,,Coffee,Beverages
59,,,Cognac,Alcohol
60,,,Cointreau,Liqueurs
61,,,Cranberry,Berries
62,,,Currant,Berries
63,,,Dark rum,Alcohol
64,,,Date,Fruits
65,,,Fig,Fruits
66,,,Flaxseed,Seeds
67,,,Goat cheese,Cheeses
68,,,Gooseberry,Berries
69,,,Grand Marnier,Alcohol
70,,,Grapefruit,Fruits
71,,,Lavender,Herbs
72,,,Lemon balm,Herbs
73,,,Lychee,Fruits
74,,,Mango,Fruits
75,,,Maple syrup,Sugars
76,,,Mint,Herbs
77,,,Nutmeg,Spices
78,,,Oreo,Candy
79,,,Passionfruit,Fruits
80,,,Peanit,Nut
81,,,Peanut butter,Nut
82,,,Pear,Fruits
83,,,Pecan,Nut
84,,,Pepper,Spices
85,,,Pine needles,Other
86,,,Pineapple,Fruits
87,,,Plum,Berries
88,,,Poppy seed,Seeds
89,,,Portwine,Alcohol
90,,,Potato,Vegetables
91,,,Prune,Fruits
92,,,Pumpkin,Vegetables
93,,,Red cabbage,Vegetables
94,,,Red wine,Alcohol
95,,,Rosewater,Other
96,,,Rosemary,Herbs
97,,,Rum,Alcohol
98,,,Rye bread,Other
99,,,Saffron,Herbs
100,,,Sea buckthorn,Berries
101,,,Sesame seed,Seeds
102,,,Timian,Herbs
103,,,Turmeric,Spices
104,,,Vodka,Alcohol
105,,,White wine,Alcohol
106,,,Wood sorrel,Herbs
