Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Paprika,Spices
2,Creme fraiche,Dairy,Pepper,Spices
3,Lemon,Fruits,Cayenne pepper,Spices
4,Mustard,Condiments,Garlic,Herbs
5,Olive oil,Oils,Mustard,Condiments
6,Garlic,Herbs,Buttermilk,Dairy
7,Red onion,Vegetables,Honey,Sugars
8,Chive,Herbs,Lemon,Fruits
9,Onion,Vegetables,Olive oil,Oils
10,Avocado,Vegetables,Onion,Vegetables
11,Bacon,Meats,Shallot,Vegetables
12,Capers,Other,Avocado,Vegetables
13,Carrot,Other,Balsamic vinegar,Vinegars
14,Cucumber,Vegetables,Capers,Other
15,Curry,Spices,Cheddar,Cheeses
16,Dill,Herbs,Chili,Herbs
17,Spring onion,Vegetables,Cilantro,Herbs
18,Tomato,Vegetables,Cream,Dairy
19,Yoghurt,Dairy,Creme fraiche,Dairy
20,Apple,Fruits,Cumin,Spices
21,Apple cider vinegar,Vinegars,Lime,Fruits
22,Asparagus,Vegetables,Red onion,Vegetables
23,Cayenne pepper,Spices,Spinach,Spices
24,Cheddar,Cheeses,Tabasco,Condiments
25,Chili,Herbs,Worcestershire sauce,Condiments
26,Cilantro,Herbs,Yoghurt,Dairy
27,Cumin,Spices,,
28,Fish sauce,Other,,
29,Ginger,Herbs,,
30,Honey,Sugars,,
31,Ketchup,Condiments,,
32,Lime,Fruits,,
33,Mint,Herbs,,
34,Paprika,Spices,,
35,Parmesan,Dairy,,
36,Parsley,Herbs,,
37,Potato,Vegetables,,
38,Smoked paprika,Spices,,
39,Turmeric,Spices,,
40,Worcestershire sauce,Condiments,,
41,Allspice,Spices,,
42,Apricot,Fruits,,
43,Arugula,Vegetables,,
44,Balsamic vinegar,Vinegars,,
45,Basil,Herbs,,
46,Bay leaf,Herbs,,
47,Beef,Meats,,
48,Beer,Alcohol,,
49,Beetroot,Vegetables,,
50,Bell pepper,Vegetables,,
51,Bread,Other,,
52,Brocolli,Vegetables,,
53,Buttermilk,Dairy,,
54,Cardamom,Spices,,
55,Celeriac,Vegetables,,
56,Celery,Vegetables,,
57,Chicken,Meats,,
58,Chicken stock,Other,,
59,Chorizo,Meats,,
60,Cinnamon,Spices,,
61,Cloves,Spices,,
62,Coconut,Nut,,
63,Cognac,Alcohol,,
64,Corn,Vegetables,,
65,Cranberry,Berries,,
66,Cream,Dairy,,
67,Edamame,Vegetables,,
68,Fennel,Vegetables,,
69,Fennel seed,Spices,,
70,Flatleaf Parsley,Herbs,,
71,Flaxseed,Seeds,,
72,Garam masala,Spices,,
73,Grapefruit,Fruits,,
74,Kale,Vegetables,,
75,Leek,Vegetables,,
76,Mango,Fruits,,
77,Mushroom,Vegetables,,
78,Noodle,Other,,
79,Nutmeg,Spices,,
80,Oragano,Herbs,,
81,Pasta,Other,,
82,Pea,Vegetables,,
83,Peanit,Nut,,
84,Pecan,Nut,,
85,Pineapple,Fruits,,
86,Pointed cabbage,Vegetables,,
87,Pomegranate,Fruits,,
88,Pork,Meats,,
89,Raisin,Fruits,,
90,Red cabbage,Vegetables,,
91,Red wine,Alcohol,,
92,Rosemary,Herbs,,
93,Rye bread,Other,,
94,Salmon,Meats,,
95,Sesame seed,Seeds,,
96,Shallot,Vegetables,,
97,Smoked salmon,Meats,,
98,Soy,Other,,
99,Spinach,Spices,,
100,Sundried tomato,Vegetables,,
101,Sweet potato,Vegetables,,
102,Tarragon,Herbs,,
103,Tequila,Alcohol,,
104,Timian,Herbs,,
105,Vodka,Alcohol,,
106,Walnut,Nut,,
107,White wine,Alcohol,,
108,White wine vinegar,Vinegars,,
