Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Olive oil,Oils,Vanilla,Herbs
2,Lemon,Fruits,Garlic,Herbs,Strawberry,Berries
3,Angostura,Alcohol,Cilantro,Herbs,Lemon,Fruits
4,Bourbon,Alcohol,Pepper,Spices,Almond,Nut
5,Gin,Alcohol,Lemon,Fruits,White chocolate,Other
6,Agave nectar,Sugars,Red onion,Vegetables,Dark chocolate,Other
7,Beer,Alcohol,Chili,Herbs,Cocoa,Other
8,Light rum,Alcohol,Cucumber,Vegetables,Marzipan,Other
9,Pineapple,Fruits,Cumin,Spices,Orange,Fruits
10,Ginger beer,Beverages,Ginger,Herbs,Raspberry,Berries
11,Honey,Sugars,Lime,Fruits,Banana,Fruits
12,Orange,Fruits,Spring onion,Vegetables,Creme fraiche,Dairy
13,Orange curaçao,Alcohol,Honey,Sugars,Lime,Fruits
14,Strawberry,Berries,Onion,Vegetables,Mascarpone,Cheeses
15,Blackberry,Berries,Parsley,Herbs,Pistachio,Nut
16,Blueberry,Berries,Tomato,Vegetables,Rhubarb,Fruits
17,Bourbon whisky,Alcohol,Yoghurt,Dairy,Blueberry,Berries
18,Campari,Alcohol,Almond,Nut,Buttermilk,Dairy
19,Champagne,Alcohol,Apple,Fruits,Cardamom,Spices
20,Cinnamon,Spices,Apple cider vinegar,Vinegars,Cinnamon,Spices
21,Coffee,Beverages,Apricot,Fruits,Coconut,Nut
22,Cointreau,Liqueurs,Arugula,Vegetables,Cream cheese,Cheeses
23,Dark rum,Alcohol,Avocado,Vegetables,Elderflower,Herbs
24,Fernet Branca,Alcohol,Banana,Fruits,Honey,Sugars
25,Ginger,Herbs,Bell pepper,Vegetables,Mango,Fruits
26,Grapefruit,Fruits,Carrot,Other,Marshmallow,Candy
27,Mango,Fruits,Cauliflower,Vegetables,Passionfruit,Fruits
28,Maraschino liqueur,Alcohol,Chick pea,Vegetables,Plum,Berries
29,Orange bitter,Alcohol,Cinnamon,Spices,Rum,Alcohol
30,Orgeat syrup,Other,Coconut,Nut,Walnut,Nut
31,Peychaud's Bitters,Alcohol,Feta,Cheeses,White wine vinegar,Vinegars
32,Raspberry,Berries,Fish sauce,Other,Yoghurt,Dairy
33,Rye whiskey,Alcohol,Garam masala,Spices,Blackberry,Berries
34,St. Germain,Alcohol,Mango,Fruits,Blackcurrant,Berries
35,Tequila,Alcohol,Mayonnaise,Condiments,Cranberry,Berries
36,Vodka,Alcohol,Mustard,Condiments,Cream,Dairy
37,Aperol,Alcohol,Orange,Fruits,Date,Fruits
38,Apple,Fruits,Pea,Vegetables,Grapefruit,Fruits
39,Averna Amaro,Alcohol,Peanit,Nut,Hazelnut,Nut
40,Blood orange,Fruits,Pine nut,Nut,Lemongrass,Herbs
41,Cherry,Berries,Pomegranate,Fruits,Licorice,Candy
42,Cognac,Alcohol,Potato,Vegetables,Milk chocolate,Other
43,Cream,Dairy,Smoked paprika,Spices,Pecan,Nut
44,Cucumber,Vegetables,Soy,Other,Pepper,Spices
45,Cumin,Spices,Spinach,Spices,Pineapple,Fruits
46,Dry vermouth,Alcohol,Tahin,Other,Redcurrant,Berries
47,Elderflower,Herbs,Timian,Herbs,Ladyfingers,Other
48,Ginger ale,Beverages,Turmeric,Spices,Sea buckthorn,Berries
49,Green chartreuse,Alcohol,Vanilla,Herbs,Sesame seed,Seeds
50,Grenadine,Beverages,White wine,Alcohol,Vodka,Alcohol
51,Nutmeg,Spices,Anchovy,Meats,,
52,Pomegranate,Fruits,Bacon,Meats,,
53,Red wine,Alcohol,Balsamic vinegar,Vinegars,,
54,Rhubarb,Fruits,Basil,Herbs,,
55,Rum,Alcohol,Bay leaf,Herbs,,
56,Schnapps,Alcohol,Bean sprout,Vegetables,,
57,Sweet vermouth,Alcohol,Beef,Meats,,
58,Tonic,Beverages,Beetroot,Vegetables,,
59,Vanilla,Herbs,Bread,Other,,
60,Whipped Cream,Dairy,Buttermilk,Dairy,,
61,Yellow chartreuse,Alcohol,Capers,Other,,
62,,,Cardamom,Spices,,
63,,,Cashew,Nut,,
64,,,Cayenne pepper,Spices,,
65,,,Celery,Vegetables,,
66,,,Cheddar,Cheeses,,
67,,,Cherry,Berries,,
68,,,Chia seed,Seeds,,
69,,,Chicken,Meats,,
70,,,Chicken stock,Other,,
71,,,Chive,Herbs,,
72,,,Cloves,Spices,,
73,,,Coconut sugar,Sugars,,
74,,,Corn,Vegetables,,
75,,,Courgette,Vegetables,,
76,,,Couscous,Other,,
77,,,Cranberry,Berries,,
78,,,Cream,Dairy,,
79,,,Cream cheese,Cheeses,,
80,,,Creme fraiche,Dairy,,
81,,,Curry,Spices,,
82,,,Dark chocolate,Other,,
83,,,Date,Fruits,,
84,,,Dill,Herbs,,
85,,,Edamame,Vegetables,,
86,,,Egg plant,Vegetables,,
87,,,Elderflower,Herbs,,
88,,,Fennel,Vegetables,,
89,,,Flatleaf Parsley,Herbs,,
90,,,Flaxseed,Seeds,,
91,,,Hazelnut,Nut,,
92,,,Kale,Vegetables,,
93,,,Leek,Vegetables,,
94,,,Lemongrass,Herbs,,
95,,,Mandarin,Fruits,,
96,,,Maple syrup,Sugars,,
97,,,Matcha tea,Beverages,,
98,,,Noodle,Other,,
99,,,Nutmeg,Spices,,
100,,,Oragano,Herbs,,
101,,,Paprika,Spices,,
102,,,Parmesan,Dairy,,
103,,,Pear,Fruits,,
104,,,Pineapple,Fruits,,
105,,,Pistachio,Nut,,
106,,,Pointed cabbage,Vegetables,,
107,,,Pumpkin,Vegetables,,
108,,,Pumpkin seed,Seeds,,
109,,,Raisin,Fruits,,
110,,,Rapeseed oil,Oils,,
111,,,Raspberry,Berries,,
112,,,Red cabbage,Vegetables,,
113,,,Rhubarb,Fruits,,
114,,,Rice,Other,,
115,,,Ricotta,Cheeses,,
116,,,Rosemary,Herbs,,
117,,,Rye bread,Other,,
118,,,Saffron,Herbs,,
119,,,Salad,Other,,
120,,,Salmon,Meats,,
121,,,Sesame seed,Seeds,,
122,,,Shallot,Vegetables,,
123,,,Smoked salmon,Meats,,
124,,,Strawberry,Berries,,
125,,,Sweet potato,Vegetables,,
126,,,Tarragon,Herbs,,
127,,,Vegetable stock,Other,,
128,,,Walnut,Nut,,
129,,,Watercress,Vegetables,,
130,,,White chocolate,Other,,
131,,,White wine vinegar,Vinegars,,
132,,,Zucchini,Vegetables,,
