Rank,Savory,Category
1,Olive oil,Oils
2,Pepper,Spices
3,Tomato,Vegetables
4,Garlic,Herbs
5,Onion,Vegetables
6,Timian,Herbs
7,Basil,Herbs
8,Beef,Meats
9,Oragano,Herbs
10,Parmesan,Dairy
11,Carrot,Other
12,Celery,Vegetables
13,Chorizo,Meats
14,Egg plant,Vegetables
15,Nutmeg,Spices
16,Parsley,Herbs
17,Potato,Vegetables
18,Zucchini,Vegetables
19,Arugula,Vegetables
20,Bacon,Meats
21,Chili,Herbs
22,Cumin,Spices
23,Fig,Fruits
24,Honey,Sugars
25,Lemon,Fruits
26,Mushroom,Vegetables
27,Pasta,Other
28,Pine nut,Nut
29,Red onion,Vegetables
30,Red wine,Alcohol
31,Rosemary,Herbs
32,Spinach,Spices
33,Sundried tomato,Vegetables
34,Yoghurt,Dairy
35,Almond,Nut
36,Apple,Fruits
37,Apple cider vinegar,Vinegars
38,Avocado,Vegetables
39,Balsamic vinegar,Vinegars
40,Blueberry,Berries
41,Bread,Other
42,Capers,Other
43,Cauliflower,Vegetables
44,Cheddar,Cheeses
45,Chicken,Meats
46,Chive,Herbs
47,Cinnamon,Spices
48,Corn,Vegetables
49,Cream cheese,Cheeses
50,Creme fraiche,Dairy
51,Dill,Herbs
52,Feta,Cheeses
53,Flaxseed,Seeds
54,Garam masala,Spices
55,Hazelnut,Nut
56,Jamón,Meats
57,Kale,Vegetables
58,Leek,Vegetables
59,Mascarpone,Cheeses
60,Mustard,Condiments
61,Paprika,Spices
62,Pomegranate,Fruits
63,Pumpkin,Vegetables
64,Raisin,Fruits
65,Red cabbage,Vegetables
66,Ricotta,Cheeses
67,Rye bread,Other
68,Sage,Herbs
69,Salad,Other
70,Salmon,Meats
71,Sesame seed,Seeds
72,Smoked paprika,Spices
73,Spring onion,Vegetables
74,Strawberry,Berries
75,Tarragon,Herbs
76,Worcestershire sauce,Condiments
