Rank,Savory,Category
1,Onion,Vegetables
2,Pepper,Spices
3,Garlic,Herbs
4,Olive oil,Oils
5,Timian,Herbs
6,Carrot,Other
7,Parsley,Herbs
8,Tomato,Vegetables
9,Bacon,Meats
10,Ginger,Herbs
11,Parmesan,Dairy
12,Potato,Vegetables
13,Rosemary,Herbs
14,Balsamic vinegar,Vinegars
15,Basil,Herbs
16,Bay leaf,Herbs
17,Bean sprout,Vegetables
18,Beef stock,Other
19,Bell pepper,Vegetables
20,Celery,Vegetables
21,Chicken,Meats
22,Chili,Herbs
23,Chorizo,Meats
24,Cilantro,Herbs
25,Coconut,Nut
26,Creme fraiche,Dairy
27,Curry,Spices
28,Egg plant,Vegetables
29,Fish sauce,Other
30,Hazelnut,Nut
31,Leek,Vegetables
32,Lemon,Fruits
33,Lemongrass,Herbs
34,Lime,Fruits
35,Mozzarella,Cheeses
36,Mustard,Condiments
37,Nutmeg,Spices
38,Paprika,Spices
39,Pasta,Other
40,Pumpkin,Vegetables
41,Red onion,Vegetables
42,Red wine,Alcohol
43,Shallot,Vegetables
44,Smoked paprika,Spices
45,Soy,Other
46,Spinach,Spices
47,Spring onion,Vegetables
48,Sundried tomato,Vegetables
49,White wine,Alcohol
50,Worcestershire sauce,Condiments
51,Zucchini,Vegetables
52,Allspice,Spices
53,Apple,Fruits
54,Avocado,Vegetables
55,Beef,Meats
56,Blackberry,Berries
57,Bread,Other
58,Brocolli,Vegetables
59,Buttermilk,Dairy
60,Cardamom,Spices
61,Cashew,Nut
62,Cauliflower,Vegetables
63,Cayenne pepper,Spices
64,Celeriac,Vegetables
65,Cheddar,Cheeses
66,Chicken stock,Other
67,Chive,Herbs
68,Cinnamon,Spices
69,Cloves,Spices
70,Coconut sugar,Sugars
71,Cognac,Alcohol
72,Cranberry,Berries
73,Cream,Dairy
74,Cream cheese,Cheeses
75,Cucumber,Vegetables
76,Cumin,Spices
77,Feta,Cheeses
78,Flatleaf Parsley,Herbs
79,Garam masala,Spices
80,Honey,Sugars
81,Jamón,Meats
82,Kale,Vegetables
83,Mango,Fruits
84,Maple syrup,Sugars
85,Mascarpone,Cheeses
86,Mayonnaise,Condiments
87,Noodle,Other
88,Orange,Fruits
89,Oragano,Herbs
90,Parsley root,Vegetables
91,Pineapple,Fruits
92,Pointed cabbage,Vegetables
93,Pork,Meats
94,Portwine,Alcohol
95,Pumpkin seed,Seeds
96,Rapeseed oil,Oils
97,Rice,Other
98,Ricotta,Cheeses
99,Rye bread,Other
100,Salad,Other
101,Sea buckthorn,Berries
102,Sesame seed,Seeds
103,Tahin,Other
104,Tarragon,Herbs
105,Turmeric,Spices
106,Walnut,Nut
107,White wine vinegar,Vinegars
108,Yoghurt,Dairy
