Rank,Savory,Category
1,Ginger,Herbs
2,Cilantro,Herbs
3,Garlic,Herbs
4,Lime,Fruits
5,Spring onion,Vegetables
6,Chili,Herbs
7,Olive oil,Oils
8,Fish sauce,Other
9,Bean sprout,Vegetables
10,Carrot,Other
11,Cashew,Nut
12,Chicken,Meats
13,Coconut,Nut
14,Peanit,Nut
15,Soy,Other
16,Bell pepper,Vegetables
17,Brocolli,Vegetables
18,Mint,Herbs
19,Mushroom,Vegetables
20,Onion,Vegetables
21,Pepper,Spices
22,Spinach,Spices
23,Apple cider vinegar,Vinegars
24,Arugula,Vegetables
25,Bacon,Meats
26,Bread,Other
27,Coconut sugar,Sugars
28,Creme fraiche,Dairy
29,Curry,Spices
30,Edamame,Vegetables
31,Kale,Vegetables
32,Lemongrass,Herbs
33,Mango,Fruits
34,Mayonnaise,Condiments
35,Parmesan,Dairy
36,Parsley,Herbs
37,Pointed cabbage,Vegetables
38,Pomegranate,Fruits
39,Red onion,Vegetables
40,Smoked paprika,Spices
41,Timian,Herbs
42,Tomato,Vegetables
43,Turmeric,Spices
44,Zucchini,Vegetables
