Rank,Savory,Category,Sweet,Category
1,Dark chocolate,Other,Dark chocolate,Other
2,Hazelnut,Nut,Marzipan,Other
3,Marzipan,Other,Hazelnut,Nut
4,White chocolate,Other,Vanilla,Herbs
5,Baileys,Alcohol,Almond,Nut
6,Licorice,Candy,White chocolate,Other
7,Milk chocolate,Other,Lemon,Fruits
8,Raspberry,Berries,Cocoa,Other
9,Walnut,Nut,Pistachio,Nut
10,,,Raspberry,Berries
11,,,Milk chocolate,Other
12,,,Orange,Fruits
13,,,Apple,Fruits
14,,,Apricot,Fruits
15,,,Basil,Herbs
16,,,Blackberry,Berries
17,,,Blueberry,Berries
18,,,Buttermilk,Dairy
19,,,Chili,Herbs
20,,,Cinnamon,Spices
21,,,Coffee,Beverages
22,,,Cognac,Alcohol
23,,,Condensed milk,Dairy
24,,,Cranberry,Berries
25,,,Creme fraiche,Dairy
26,,,Dark rum,Alcohol
27,,,Date,Fruits
28,,,Elderflower,Herbs
29,,,Fig,Fruits
30,,,Ginger,Herbs
31,,,Grand Marnier,Alcohol
32,,,Honey,Sugars
33,,,Lime,Fruits
34,,,Mascarpone,Cheeses
35,,,Pear,Fruits
36,,,Pecan,Nut
37,,,Redcurrant,Berries
38,,,Rhubarb,Fruits
39,,,Strawberry,Berries
40,,,Vodka,Alcohol
41,,,Walnut,Nut
