Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Absinthe,Alcohol,Garlic,Herbs,Lemon,Fruits
2,Apple,Fruits,Pepper,Spices,Cumin,Spices
3,Bread,Other,Onion,Vegetables,Garlic,Herbs
4,Mustard,Condiments,Lemon,Fruits,Onion,Vegetables
5,,,Tomato,Vegetables,Pepper,Spices
6,,,Chili,Herbs,Balsamic vinegar,Vinegars
7,,,Red onion,Vegetables,Cinnamon,Spices
8,,,Carrot,Other,Cream,Dairy
9,,,Cilantro,Herbs,Honey,Sugars
10,,,Cumin,Spices,Parsley,Herbs
11,,,Honey,Sugars,Yoghurt,Dairy
12,,,Mustard,Condiments,Buttermilk,Dairy
13,,,Parmesan,Dairy,Carrot,Other
14,,,Parsley,Herbs,Chili,Herbs
15,,,Potato,Vegetables,Cilantro,Herbs
16,,,Timian,Herbs,Creme fraiche,Dairy
17,,,Apple cider vinegar,Vinegars,Dill,Herbs
18,,,Avocado,Vegetables,Parmesan,Dairy
19,,,Balsamic vinegar,Vinegars,Shallot,Vegetables
20,,,Basil,Herbs,Almond,Nut
21,,,Bay leaf,Herbs,Apple,Fruits
22,,,Bell pepper,Vegetables,Arugula,Vegetables
23,,,Capers,Other,Avocado,Vegetables
24,,,Celery,Vegetables,Banana,Fruits
25,,,Cheddar,Cheeses,Blueberry,Berries
26,,,Chicken stock,Other,Caraway,Spices
27,,,Cinnamon,Spices,Cardamom,Spices
28,,,Cream,Dairy,Cayenne pepper,Spices
29,,,Creme fraiche,Dairy,Cheddar,Cheeses
30,,,Cucumber,Vegetables,Chicken stock,Other
31,,,Feta,Cheeses,Chick pea,Vegetables
32,,,Flatleaf Parsley,Herbs,Coconut,Nut
33,,,Ginger,Herbs,Coriander seed,Other
34,,,Leek,Vegetables,Courgette,Vegetables
35,,,Lime,Fruits,Couscous,Other
36,,,Mint,Herbs,Cranberry,Berries
37,,,Nutmeg,Spices,Cream cheese,Cheeses
38,,,Oragano,Herbs,Dark chocolate,Other
39,,,Paprika,Spices,Fennel,Vegetables
40,,,Pine nut,Nut,Flaxseed,Seeds
41,,,Red wine,Alcohol,Garam masala,Spices
42,,,Rosemary,Herbs,Ginger,Herbs
43,,,Shallot,Vegetables,Hazelnut,Nut
44,,,Smoked paprika,Spices,Kale,Vegetables
45,,,Spinach,Spices,Leek,Vegetables
46,,,Spring onion,Vegetables,Licorice,Candy
47,,,White wine,Alcohol,Maple syrup,Sugars
48,,,Yoghurt,Dairy,Marshmallow,Candy
49,,,Zucchini,Vegetables,Mayonnaise,Condiments
50,,,Allspice,Spices,Mustard,Condiments
51,,,Almond,Nut,Nutmeg,Spices
52,,,Anchovy,Meats,Paprika,Spices
53,,,Apple,Fruits,Pine nut,Nut
54,,,Apple cider,Alcohol,Pumpkin seed,Seeds
55,,,Apple vinegar,Vinegars,Red onion,Vegetables
56,,,Apricot,Fruits,Sesame seed,Seeds
57,,,Arugula,Vegetables,Smoked paprika,Spices
58,,,Asparagus,Vegetables,Soy,Other
59,,,Bacon,Meats,Spring onion,Vegetables
