Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Garlic,Herbs
2,Olive oil,Oils,Pepper,Spices
3,Pepper,Spices,Cayenne pepper,Spices
4,Tomato,Vegetables,Lemon,Fruits
5,Carrot,Other,Olive oil,Oils
6,Timian,Herbs,Paprika,Spices
7,Bay leaf,Herbs,Cheddar,Cheeses
8,Celery,Vegetables,Chili,Herbs
9,Chili,Herbs,Tomato,Vegetables
10,Cilantro,Herbs,Balsamic vinegar,Vinegars
11,Cumin,Spices,Chicken stock,Other
12,Lemon,Fruits,Cinnamon,Spices
13,Parsley,Herbs,Cumin,Spices
14,Potato,Vegetables,Ginger,Herbs
15,White wine,Alcohol,Carrot,Other
16,Apple,Fruits,Cilantro,Herbs
17,Bacon,Meats,Mustard,Condiments
18,Basil,Herbs,Nutmeg,Spices
19,Beef,Meats,Oragano,Herbs
20,Bell pepper,Vegetables,Parsley,Herbs
21,Celeriac,Vegetables,Arugula,Vegetables
22,Cheddar,Cheeses,Beer,Alcohol
23,Chicken,Meats,Buttermilk,Dairy
24,Chicken stock,Other,Celery,Vegetables
25,Cinnamon,Spices,Courgette,Vegetables
26,Cloves,Spices,Cream,Dairy
27,Cream,Dairy,Garam masala,Spices
28,Creme fraiche,Dairy,Honey,Sugars
29,Flatleaf Parsley,Herbs,Maple syrup,Sugars
30,Ginger,Herbs,Mayonnaise,Condiments
31,Honey,Sugars,Pea,Vegetables
32,Leek,Vegetables,Shallot,Vegetables
33,Lime,Fruits,Smoked paprika,Spices
34,Mushroom,Vegetables,Soy,Other
35,Mustard,Condiments,Sweet potato,Vegetables
36,Nutmeg,Spices,Timian,Herbs
37,Oragano,Herbs,Turmeric,Spices
38,Paprika,Spices,White wine,Alcohol
39,Parmesan,Dairy,Worcestershire sauce,Condiments
40,Red wine,Alcohol,Yoghurt,Dairy
41,Rice,Other,,
42,Rosemary,Herbs,,
43,Smoked paprika,Spices,,
44,Spinach,Spices,,
45,Spring onion,Vegetables,,
46,Turmeric,Spices,,
47,Worcestershire sauce,Condiments,,
48,Yoghurt,Dairy,,
49,Zucchini,Vegetables,,
50,Allspice,Spices,,
51,Almond,Nut,,
52,Anchovy,Meats,,
53,Apple cider,Alcohol,,
54,Apple cider vinegar,Vinegars,,
55,Apple vinegar,Vinegars,,
56,Apricot,Fruits,,
57,Arugula,Vegetables,,
58,Asparagus,Vegetables,,
59,Avocado,Vegetables,,
60,Balsamic vinegar,Vinegars,,
61,Banana,Fruits,,
62,Bean,Vegetables,,
63,Bean sprout,Vegetables,,
64,Beef stock,Other,,
65,Beer,Alcohol,,
66,Beetroot,Vegetables,,
67,Blackberry,Berries,,
68,Blueberry,Berries,,
69,Brandy,Alcohol,,
70,Bread,Other,,
71,Brocolli,Vegetables,,
72,Buttermilk,Dairy,,
73,Butternut squash,Vegetables,,
74,Capers,Other,,
75,Caraway,Spices,,
76,Cardamom,Spices,,
77,Cashew,Nut,,
78,Cauliflower,Vegetables,,
79,Cayenne pepper,Spices,,
80,Champagne,Alcohol,,
81,Chestnut,Nut,,
82,Chick pea,Vegetables,,
83,Chive,Herbs,,
84,Chorizo,Meats,,
85,Cocoa,Other,,
86,Coconut,Nut,,
87,Coconut sugar,Sugars,,
88,Coffee,Beverages,,
89,Cognac,Alcohol,,
90,Coriander seed,Other,,
91,Corn,Vegetables,,
92,Courgette,Vegetables,,
93,Couscous,Other,,
94,Cranberry,Berries,,
95,Cream cheese,Cheeses,,
96,Cucumber,Vegetables,,
97,Currant,Berries,,
98,Curry,Spices,,
99,Dark chocolate,Other,,
100,Dark rum,Alcohol,,
101,Date,Fruits,,
102,Dill,Herbs,,
103,Edamame,Vegetables,,
104,Egg plant,Vegetables,,
105,Elderberry,Berries,,
106,Fennel,Vegetables,,
107,Fennel seed,Spices,,
108,Feta,Cheeses,,
109,Fig,Fruits,,
110,Fish sauce,Other,,
111,Flaxseed,Seeds,,
112,Garam masala,Spices,,
113,Gin,Alcohol,,
114,Grapefruit,Fruits,,
115,Hazelnut,Nut,,
116,Jamón,Meats,,
117,Kale,Vegetables,,
118,Ketchup,Condiments,,
119,Lemongrass,Herbs,,
120,Mango,Fruits,,
121,Maple syrup,Sugars,,
122,Marsala,Alcohol,,
123,Mascarpone,Cheeses,,
124,Mayonnaise,Condiments,,
125,Mint,Herbs,,
126,Mozzarella,Cheeses,,
127,Noodle,Other,,
128,Orange,Fruits,,
129,Parsley root,Vegetables,,
130,Pasta,Other,,
131,Pea,Vegetables,,
132,Peach,Fruits,,
133,Peanit,Nut,,
134,Peanut butter,Nut,,
135,Pear,Fruits,,
136,Pickling vinegar,Vinegars,,
137,Pine nut,Nut,,
138,Pineapple,Fruits,,
139,Plum,Berries,,
140,Pointed cabbage,Vegetables,,
141,Pomegranate,Fruits,,
142,Pork,Meats,,
143,Portwine,Alcohol,,
144,Prune,Fruits,,
145,Pumpkin,Vegetables,,
146,Pumpkin seed,Seeds,,
147,Raisin,Fruits,,
148,Rapeseed oil,Oils,,
149,Raspberry,Berries,,
150,Red cabbage,Vegetables,,
151,Red onion,Vegetables,,
152,Rhubarb,Fruits,,
153,Ricotta,Cheeses,,
154,Rye bread,Other,,
155,Saffron,Herbs,,
156,Sage,Herbs,,
157,Salad,Other,,
158,Salmon,Meats,,
159,Schnapps,Alcohol,,
160,Sea buckthorn,Berries,,
161,Sesame oil,Oils,,
162,Sesame seed,Seeds,,
163,Shallot,Vegetables,,
164,Smoked salmon,Meats,,
165,Sourdough,Other,,
166,Soy,Other,,
167,Star anise,Spices,,
168,Sundried tomato,Vegetables,,
169,Sweet potato,Vegetables,,
170,Tabasco,Condiments,,
171,Tahin,Other,,
172,Tarragon,Herbs,,
173,Vanilla,Herbs,,
174,Vegetable stock,Other,,
175,Vodka,Alcohol,,
176,Walnut,Nut,,
177,Watercress,Vegetables,,
178,White wine vinegar,Vinegars,,
