Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Garlic,Herbs
2,Olive oil,Oils,Onion,Vegetables
3,Pepper,Spices,Pepper,Spices
4,Onion,Vegetables,Avocado,Vegetables
5,Tomato,Vegetables,Cayenne pepper,Spices
6,Chili,Herbs,Cheddar,Cheeses
7,Cumin,Spices,Chicken stock,Other
8,Parmesan,Dairy,Chili,Herbs
9,Carrot,Other,Cumin,Spices
10,Paprika,Spices,Mustard,Condiments
11,Parsley,Herbs,Paprika,Spices
12,Red onion,Vegetables,Parmesan,Dairy
13,Smoked paprika,Spices,Parsley,Herbs
14,Timian,Herbs,Red onion,Vegetables
15,Arugula,Vegetables,Smoked paprika,Spices
16,Avocado,Vegetables,Sweet potato,Vegetables
17,Bacon,Meats,Tomato,Vegetables
18,Balsamic vinegar,Vinegars,,
19,Basil,Herbs,,
20,Bay leaf,Herbs,,
21,Beef,Meats,,
22,Bell pepper,Vegetables,,
23,Cayenne pepper,Spices,,
24,Celery,Vegetables,,
25,Cheddar,Cheeses,,
26,Chicken,Meats,,
27,Chicken stock,Other,,
28,Chorizo,Meats,,
29,Cilantro,Herbs,,
30,Cream,Dairy,,
31,Egg plant,Vegetables,,
32,Honey,Sugars,,
33,Lemon,Fruits,,
34,Lime,Fruits,,
35,Mozzarella,Cheeses,,
36,Nutmeg,Spices,,
37,Pasta,Other,,
38,Potato,Vegetables,,
39,Red wine,Alcohol,,
40,Spinach,Spices,,
41,White wine,Alcohol,,
42,Worcestershire sauce,Condiments,,
43,Zucchini,Vegetables,,
44,Almond,Nut,,
45,Anchovy,Meats,,
46,Apple,Fruits,,
47,Apple cider,Alcohol,,
48,Apple cider vinegar,Vinegars,,
49,Bean,Vegetables,,
50,Beef stock,Other,,
51,Beer,Alcohol,,
52,Bread,Other,,
53,Buttermilk,Dairy,,
54,Butternut squash,Vegetables,,
55,Capers,Other,,
56,Cardamom,Spices,,
57,Cauliflower,Vegetables,,
58,Chick pea,Vegetables,,
59,Cinnamon,Spices,,
60,Cloves,Spices,,
61,Coconut sugar,Sugars,,
62,Coriander seed,Other,,
63,Corn,Vegetables,,
64,Courgette,Vegetables,,
65,Creme fraiche,Dairy,,
66,Cucumber,Vegetables,,
67,Curry,Spices,,
68,Dark chocolate,Other,,
69,Dill,Herbs,,
70,Fennel,Vegetables,,
71,Fennel seed,Spices,,
72,Feta,Cheeses,,
73,Fig,Fruits,,
74,Flatleaf Parsley,Herbs,,
75,Ginger,Herbs,,
76,Jamón,Meats,,
77,Ketchup,Condiments,,
78,Maple syrup,Sugars,,
79,Mascarpone,Cheeses,,
80,Mayonnaise,Condiments,,
81,Mint,Herbs,,
82,Mushroom,Vegetables,,
83,Mustard,Condiments,,
84,Orange,Fruits,,
85,Pea,Vegetables,,
86,Peach,Fruits,,
87,Pear,Fruits,,
88,Pine nut,Nut,,
89,Pork,Meats,,
90,Red cabbage,Vegetables,,
91,Rice,Other,,
92,Ricotta,Cheeses,,
93,Rosemary,Herbs,,
94,Salmon,Meats,,
95,Shallot,Vegetables,,
96,Soy,Other,,
97,Spring onion,Vegetables,,
98,Sundried tomato,Vegetables,,
99,Vanilla,Herbs,,
100,Vegetable stock,Other,,
101,Walnut,Nut,,
102,White wine vinegar,Vinegars,,
103,Yoghurt,Dairy,,
