Rank,Cocktail,Category
1,Lemon,Fruits
2,Angostura,Alcohol
3,Dry vermouth,Alcohol
4,Orange,Fruits
5,Sweet vermouth,Alcohol
6,Cherry,Berries
7,Gin,Alcohol
8,Maraschino liqueur,Alcohol
9,Green chartreuse,Alcohol
10,Tequila,Alcohol
11,Absinthe,Alcohol
12,Agave nectar,Sugars
13,Beer,Alcohol
14,Bénédictine,Alcohol
15,Bourbon,Alcohol
16,Champagne,Alcohol
17,Cinnamon,Spices
18,Cointreau,Liqueurs
19,Dark rum,Alcohol
20,Grapefruit,Fruits
21,Lime,Fruits
22,Maple syrup,Sugars
23,Mint,Herbs
24,Orange curaçao,Alcohol
25,Peychaud's Bitters,Alcohol
26,Raspberry,Berries
27,Rosemary,Herbs
28,Rye whiskey,Alcohol
29,St. Germain,Alcohol
30,Strawberry,Berries
31,Vodka,Alcohol
32,Yellow chartreuse,Alcohol
