Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Pepper,Spices
2,Pepper,Spices,Garlic,Herbs
3,Olive oil,Oils,Cayenne pepper,Spices
4,Onion,Vegetables,Onion,Vegetables
5,Tomato,Vegetables,Mayonnaise,Condiments
6,Cumin,Spices,Chili,Herbs
7,Chili,Herbs,Lemon,Fruits
8,Lemon,Fruits,Cheddar,Cheeses
9,Bell pepper,Vegetables,Cinnamon,Spices
10,Carrot,Other,Cumin,Spices
11,Cayenne pepper,Spices,Fennel seed,Spices
12,Cilantro,Herbs,Olive oil,Oils
13,Mustard,Condiments,Avocado,Vegetables
14,Parsley,Herbs,Buttermilk,Dairy
15,Smoked paprika,Spices,Cilantro,Herbs
16,Timian,Herbs,Cream,Dairy
17,Apple cider vinegar,Vinegars,Creme fraiche,Dairy
18,Avocado,Vegetables,Honey,Sugars
19,Bacon,Meats,Mustard,Condiments
20,Bay leaf,Herbs,Oragano,Herbs
21,Beef,Meats,Parsley,Herbs
22,Cardamom,Spices,Red wine,Alcohol
23,Celery,Vegetables,Soy,Other
24,Cheddar,Cheeses,Star anise,Spices
25,Chicken,Meats,Worcestershire sauce,Condiments
26,Chicken stock,Other,,
27,Chorizo,Meats,,
28,Cinnamon,Spices,,
29,Creme fraiche,Dairy,,
30,Cucumber,Vegetables,,
31,Dill,Herbs,,
32,Feta,Cheeses,,
33,Ginger,Herbs,,
34,Honey,Sugars,,
35,Ketchup,Condiments,,
36,Leek,Vegetables,,
37,Lime,Fruits,,
38,Mayonnaise,Condiments,,
39,Mushroom,Vegetables,,
40,Oragano,Herbs,,
41,Potato,Vegetables,,
42,Red onion,Vegetables,,
43,Soy,Other,,
44,Spring onion,Vegetables,,
45,Turmeric,Spices,,
46,Worcestershire sauce,Condiments,,
47,Yoghurt,Dairy,,
48,Zucchini,Vegetables,,
49,Allspice,Spices,,
50,Almond,Nut,,
51,Apple,Fruits,,
52,Apricot,Fruits,,
53,Arugula,Vegetables,,
54,Asparagus,Vegetables,,
55,Balsamic vinegar,Vinegars,,
56,Bean,Vegetables,,
57,Beer,Alcohol,,
58,Bread,Other,,
59,Brocolli,Vegetables,,
60,Buttermilk,Dairy,,
61,Butternut squash,Vegetables,,
62,Cauliflower,Vegetables,,
63,Celeriac,Vegetables,,
64,Chick pea,Vegetables,,
65,Chive,Herbs,,
66,Cloves,Spices,,
67,Cocoa,Other,,
68,Coconut,Nut,,
69,Cognac,Alcohol,,
70,Coriander seed,Other,,
71,Corn,Vegetables,,
72,Couscous,Other,,
73,Cream,Dairy,,
74,Cream cheese,Cheeses,,
75,Curry,Spices,,
76,Dark chocolate,Other,,
77,Egg plant,Vegetables,,
78,Fennel,Vegetables,,
79,Fish sauce,Other,,
80,Flatleaf Parsley,Herbs,,
81,Garam masala,Spices,,
82,Jamón,Meats,,
83,Kale,Vegetables,,
84,Mint,Herbs,,
85,Mozzarella,Cheeses,,
86,Nutmeg,Spices,,
87,Parmesan,Dairy,,
88,Parsley root,Vegetables,,
89,Pea,Vegetables,,
90,Peanit,Nut,,
91,Pine nut,Nut,,
92,Pointed cabbage,Vegetables,,
93,Pomegranate,Fruits,,
94,Poppy seed,Seeds,,
95,Pork,Meats,,
96,Raisin,Fruits,,
97,Rapeseed oil,Oils,,
98,Red wine,Alcohol,,
99,Rice,Other,,
100,Rosemary,Herbs,,
101,Saffron,Herbs,,
102,Sage,Herbs,,
103,Salad,Other,,
104,Sesame seed,Seeds,,
105,Shallot,Vegetables,,
106,Smoked salmon,Meats,,
107,Spinach,Spices,,
108,Star anise,Spices,,
109,Sundried tomato,Vegetables,,
110,Tahin,Other,,
111,Vanilla,Herbs,,
112,Vegetable stock,Other,,
113,Walnut,Nut,,
114,White wine,Alcohol,,
115,White wine vinegar,Vinegars,,
