Rank,Savory,Category,Sweet,Category
1,Garlic,Herbs,Olive oil,Oils
2,Olive oil,Oils,Pepper,Spices
3,Pepper,Spices,Garlic,Herbs
4,Onion,Vegetables,Parsley,Herbs
5,Tomato,Vegetables,Almond,Nut
6,Lemon,Fruits,Cheddar,Cheeses
7,Parsley,Herbs,Cream,Dairy
8,Basil,Herbs,Creme fraiche,Dairy
9,Carrot,Other,Mustard,Condiments
10,Chili,Herbs,Oragano,Herbs
11,Cream,Dairy,Pasta,Other
12,Oragano,Herbs,,
13,Timian,Herbs,,
14,White wine,Alcohol,,
15,Bacon,Meats,,
16,Balsamic vinegar,Vinegars,,
17,Bay leaf,Herbs,,
18,Beef,Meats,,
19,Celery,Vegetables,,
20,Cheddar,Cheeses,,
21,Chicken stock,Other,,
22,Creme fraiche,Dairy,,
23,Egg plant,Vegetables,,
24,Fennel,Vegetables,,
25,Flatleaf Parsley,Herbs,,
26,Honey,Sugars,,
27,Leek,Vegetables,,
28,Mozzarella,Cheeses,,
29,Mushroom,Vegetables,,
30,Mustard,Condiments,,
31,Nutmeg,Spices,,
32,Pasta,Other,,
33,Pea,Vegetables,,
34,Pine nut,Nut,,
35,Potato,Vegetables,,
36,Red onion,Vegetables,,
37,Ricotta,Cheeses,,
38,Rosemary,Herbs,,
39,Shallot,Vegetables,,
40,Spinach,Spices,,
41,Sundried tomato,Vegetables,,
42,Zucchini,Vegetables,,
43,Allspice,Spices,,
44,Almond,Nut,,
45,Anchovy,Meats,,
46,Apple,Fruits,,
47,Apple cider vinegar,Vinegars,,
48,Arugula,Vegetables,,
49,Asparagus,Vegetables,,
50,Avocado,Vegetables,,
51,Bean sprout,Vegetables,,
52,Beef stock,Other,,
53,Bell pepper,Vegetables,,
54,Brandy,Alcohol,,
55,Bread,Other,,
56,Brocolli,Vegetables,,
57,Buttermilk,Dairy,,
58,Capers,Other,,
59,Cashew,Nut,,
60,Cauliflower,Vegetables,,
61,Cayenne pepper,Spices,,
62,Celeriac,Vegetables,,
63,Chicken,Meats,,
64,Chick pea,Vegetables,,
65,Chive,Herbs,,
66,Chorizo,Meats,,
67,Cilantro,Herbs,,
68,Cinnamon,Spices,,
69,Cloves,Spices,,
70,Cocoa,Other,,
71,Coconut,Nut,,
72,Coconut sugar,Sugars,,
73,Cognac,Alcohol,,
74,Courgette,Vegetables,,
75,Couscous,Other,,
76,Cream cheese,Cheeses,,
77,Cucumber,Vegetables,,
78,Cumin,Spices,,
79,Dark chocolate,Other,,
80,Dill,Herbs,,
81,Edamame,Vegetables,,
82,Fennel seed,Spices,,
83,Feta,Cheeses,,
84,Fig,Fruits,,
85,Fish sauce,Other,,
86,Flaxseed,Seeds,,
87,Ginger,Herbs,,
88,Hazelnut,Nut,,
89,Jamón,Meats,,
90,Kale,Vegetables,,
91,Ketchup,Condiments,,
92,Lime,Fruits,,
93,Maple syrup,Sugars,,
94,Mascarpone,Cheeses,,
95,Mayonnaise,Condiments,,
96,Mint,Herbs,,
97,Noodle,Other,,
98,Orange,Fruits,,
99,Paprika,Spices,,
100,Parsley root,Vegetables,,
101,Pointed cabbage,Vegetables,,
102,Pomegranate,Fruits,,
103,Poppy seed,Seeds,,
104,Pork,Meats,,
105,Pumpkin,Vegetables,,
106,Pumpkin seed,Seeds,,
107,Rapeseed oil,Oils,,
108,Red wine,Alcohol,,
109,Rye bread,Other,,
110,Saffron,Herbs,,
111,Sage,Herbs,,
112,Salad,Other,,
113,Salmon,Meats,,
114,Sesame seed,Seeds,,
115,Smoked paprika,Spices,,
116,Smoked salmon,Meats,,
117,Sourdough,Other,,
118,Soy,Other,,
119,Spring onion,Vegetables,,
120,Star anise,Spices,,
121,Sweet potato,Vegetables,,
122,Tarragon,Herbs,,
123,Vanilla,Herbs,,
124,Vodka,Alcohol,,
125,Walnut,Nut,,
126,Watercress,Vegetables,,
127,White wine vinegar,Vinegars,,
128,Worcestershire sauce,Condiments,,
129,Yoghurt,Dairy,,
