Rank,Savory,Category
1,Onion,Vegetables
2,Pepper,Spices
3,Carrot,Other
4,Olive oil,Oils
5,Garlic,Herbs
6,Celery,Vegetables
7,Leek,Vegetables
8,Parsley,Herbs
9,Timian,Herbs
10,Bay leaf,Herbs
11,Celeriac,Vegetables
12,Lemon,Fruits
13,Curry,Spices
14,Potato,Vegetables
15,Allspice,Spices
16,Apple,Fruits
17,Apricot,Fruits
18,Bacon,Meats
19,Beetroot,Vegetables
20,Bread,Other
21,Capers,Other
22,Cardamom,Spices
23,Cauliflower,Vegetables
24,Cayenne pepper,Spices
25,Chicken,Meats
26,Chicken stock,Other
27,Chili,Herbs
28,Chive,Herbs
29,Cilantro,Herbs
30,Cinnamon,Spices
31,Cloves,Spices
32,Coconut,Nut
33,Cognac,Alcohol
34,Creme fraiche,Dairy
35,Cucumber,Vegetables
36,Egg plant,Vegetables
37,Fennel,Vegetables
38,Garam masala,Spices
39,Ginger,Herbs
40,Kale,Vegetables
41,Mushroom,Vegetables
42,Mustard,Condiments
43,Nutmeg,Spices
44,Paprika,Spices
45,Parmesan,Dairy
46,Pumpkin,Vegetables
47,Red onion,Vegetables
48,Rosemary,Herbs
49,Rye bread,Other
50,Saffron,Herbs
51,Sesame seed,Seeds
52,Spring onion,Vegetables
53,Sundried tomato,Vegetables
54,Tomato,Vegetables
55,Turmeric,Spices
56,Walnut,Nut
57,White wine,Alcohol
58,Zucchini,Vegetables
