Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Celery,Vegetables,Garlic,Herbs,Pepper,Spices
2,Champagne,Alcohol,Olive oil,Oils,Garlic,Herbs
3,Chicken stock,Other,Pepper,Spices,Olive oil,Oils
4,Gin,Alcohol,Onion,Vegetables,Chicken stock,Other
5,Lemon,Fruits,Lemon,Fruits,Lemon,Fruits
6,Lime,Fruits,Carrot,Other,Onion,Vegetables
7,Orgeat syrup,Other,Tomato,Vegetables,Buttermilk,Dairy
8,,,Bay leaf,Herbs,Cream,Dairy
9,,,Chili,Herbs,Mustard,Condiments
10,,,Mustard,Condiments,Parmesan,Dairy
11,,,Parmesan,Dairy,Timian,Herbs
12,,,Potato,Vegetables,Arugula,Vegetables
13,,,Red onion,Vegetables,Chili,Herbs
14,,,Timian,Herbs,Creme fraiche,Dairy
15,,,Apple,Fruits,Honey,Sugars
16,,,Bacon,Meats,Oragano,Herbs
17,,,Bell pepper,Vegetables,Paprika,Spices
18,,,Capers,Other,Pine nut,Nut
19,,,Celeriac,Vegetables,Smoked paprika,Spices
20,,,Celery,Vegetables,Yoghurt,Dairy
21,,,Chicken,Meats,,
22,,,Chicken stock,Other,,
23,,,Cilantro,Herbs,,
24,,,Creme fraiche,Dairy,,
25,,,Cucumber,Vegetables,,
26,,,Cumin,Spices,,
27,,,Dill,Herbs,,
28,,,Fennel,Vegetables,,
29,,,Ginger,Herbs,,
30,,,Honey,Sugars,,
31,,,Leek,Vegetables,,
32,,,Mint,Herbs,,
33,,,Mushroom,Vegetables,,
34,,,Nutmeg,Spices,,
35,,,Oragano,Herbs,,
36,,,Paprika,Spices,,
37,,,Pine nut,Nut,,
38,,,Red wine,Alcohol,,
39,,,Rosemary,Herbs,,
40,,,Smoked paprika,Spices,,
41,,,Spring onion,Vegetables,,
42,,,White wine,Alcohol,,
43,,,Allspice,Spices,,
44,,,Almond,Nut,,
45,,,Anchovy,Meats,,
46,,,Apple cider vinegar,Vinegars,,
47,,,Apricot,Fruits,,
48,,,Arugula,Vegetables,,
49,,,Asparagus,Vegetables,,
50,,,Avocado,Vegetables,,
51,,,Balsamic vinegar,Vinegars,,
52,,,Banana,Fruits,,
53,,,Basil,Herbs,,
54,,,Bean,Vegetables,,
55,,,Beef,Meats,,
56,,,Beef stock,Other,,
57,,,Beer,Alcohol,,
58,,,Beetroot,Vegetables,,
59,,,Blueberry,Berries,,
60,,,Brandy,Alcohol,,
61,,,Bread,Other,,
62,,,Brocolli,Vegetables,,
63,,,Buttermilk,Dairy,,
64,,,Butternut squash,Vegetables,,
65,,,Cardamom,Spices,,
66,,,Cashew,Nut,,
67,,,Cauliflower,Vegetables,,
68,,,Cayenne pepper,Spices,,
69,,,Cheddar,Cheeses,,
70,,,Chia seed,Seeds,,
71,,,Chick pea,Vegetables,,
72,,,Chive,Herbs,,
73,,,Chorizo,Meats,,
74,,,Cinnamon,Spices,,
75,,,Cloves,Spices,,
76,,,Coconut,Nut,,
77,,,Cognac,Alcohol,,
78,,,Coriander seed,Other,,
79,,,Corn,Vegetables,,
80,,,Courgette,Vegetables,,
81,,,Couscous,Other,,
82,,,Cranberry,Berries,,
83,,,Cream,Dairy,,
84,,,Cream cheese,Cheeses,,
85,,,Curry,Spices,,
86,,,Date,Fruits,,
87,,,Edamame,Vegetables,,
88,,,Egg plant,Vegetables,,
89,,,Fennel seed,Spices,,
90,,,Feta,Cheeses,,
91,,,Fish sauce,Other,,
92,,,Flaxseed,Seeds,,
93,,,Garam masala,Spices,,
94,,,Gin,Alcohol,,
95,,,Goat cheese,Cheeses,,
96,,,Hazelnut,Nut,,
97,,,Jamón,Meats,,
98,,,Kale,Vegetables,,
99,,,Ketchup,Condiments,,
100,,,Lime,Fruits,,
101,,,Mango,Fruits,,
102,,,Maple syrup,Sugars,,
103,,,Marsala,Alcohol,,
104,,,Mascarpone,Cheeses,,
105,,,Mayonnaise,Condiments,,
106,,,Mozzarella,Cheeses,,
107,,,Noodle,Other,,
108,,,Orange,Fruits,,
109,,,Parsley root,Vegetables,,
110,,,Pasta,Other,,
111,,,Pea,Vegetables,,
112,,,Peanit,Nut,,
113,,,Pear,Fruits,,
114,,,Pecan,Nut,,
115,,,Pickling vinegar,Vinegars,,
116,,,Pistachio,Nut,,
117,,,Pointed cabbage,Vegetables,,
118,,,Pomegranate,Fruits,,
119,,,Pork,Meats,,
120,,,Portwine,Alcohol,,
121,,,Prune,Fruits,,
122,,,Pumpkin,Vegetables,,
123,,,Pumpkin seed,Seeds,,
124,,,Raisin,Fruits,,
125,,,Rapeseed oil,Oils,,
126,,,Red cabbage,Vegetables,,
127,,,Rice,Other,,
128,,,Ricotta,Cheeses,,
129,,,Rye bread,Other,,
130,,,Saffron,Herbs,,
131,,,Sage,Herbs,,
132,,,Salmon,Meats,,
133,,,Schnapps,Alcohol,,
134,,,Sesame oil,Oils,,
135,,,Sesame seed,Seeds,,
136,,,Shallot,Vegetables,,
137,,,Smoked salmon,Meats,,
138,,,Soy,Other,,
139,,,Spinach,Spices,,
140,,,Sundried tomato,Vegetables,,
141,,,Sweet potato,Vegetables,,
142,,,Tahin,Other,,
143,,,Tarragon,Herbs,,
144,,,Turmeric,Spices,,
145,,,Vanilla,Herbs,,
146,,,Vegetable stock,Other,,
147,,,Walnut,Nut,,
148,,,Watercress,Vegetables,,
149,,,White wine vinegar,Vinegars,,
150,,,Worcestershire sauce,Condiments,,
151,,,Yoghurt,Dairy,,
152,,,Zucchini,Vegetables,,
