Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Banana,Fruits,White chocolate,Other
2,Tonic,Beverages,Fennel,Vegetables,Vanilla,Herbs
3,,,Ginger,Herbs,Dark chocolate,Other
4,,,Lime,Fruits,Lemon,Fruits
5,,,Orange,Fruits,Lime,Fruits
6,,,Spinach,Spices,Cocoa,Other
7,,,,,Hazelnut,Nut
8,,,,,Orange,Fruits
9,,,,,Coconut,Nut
10,,,,,Condensed milk,Dairy
11,,,,,Mango,Fruits
12,,,,,Marzipan,Other
13,,,,,Milk chocolate,Other
14,,,,,Almond,Nut
15,,,,,Elderflower,Herbs
16,,,,,Banana,Fruits
17,,,,,Blackberry,Berries
18,,,,,Blackcurrant,Berries
19,,,,,Blueberry,Berries
20,,,,,Cashew,Nut
21,,,,,Champagne,Alcohol
22,,,,,Chili,Herbs
23,,,,,Cinnamon,Spices
24,,,,,Cream cheese,Cheeses
25,,,,,Creme fraiche,Dairy
26,,,,,Ginger,Herbs
27,,,,,Mint,Herbs
28,,,,,Peanit,Nut
29,,,,,Pineapple,Fruits
30,,,,,Pistachio,Nut
31,,,,,Raspberry,Berries
32,,,,,Strawberry,Berries
33,,,,,Walnut,Nut
34,,,,,Yoghurt,Dairy
35,,,,,Amaretto,Alcohol
36,,,,,Apple,Fruits
37,,,,,Apple cider vinegar,Vinegars
38,,,,,Apricot,Fruits
39,,,,,Buttermilk,Dairy
40,,,,,Cilantro,Herbs
41,,,,,Gooseberry,Berries
42,,,,,Kiwi,Berries
43,,,,,Lemon balm,Herbs
44,,,,,Lemongrass,Herbs
45,,,,,Licorice,Candy
46,,,,,Maple syrup,Sugars
47,,,,,Marshmallow,Candy
48,,,,,Peanut butter,Nut
49,,,,,Pear,Fruits
50,,,,,Rosemary,Herbs
51,,,,,Rum,Alcohol
52,,,,,Toasted coconut,Nut
53,,,,,Wood sorrel,Herbs
