Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Parmesan,Dairy
2,Garlic,Herbs,,
3,Olive oil,Oils,,
4,Parmesan,Dairy,,
5,Tomato,Vegetables,,
6,Onion,Vegetables,,
7,Basil,Herbs,,
8,Lemon,Fruits,,
9,Parsley,Herbs,,
10,Timian,Herbs,,
11,Zucchini,Vegetables,,
12,Bacon,Meats,,
13,Beef,Meats,,
14,Carrot,Other,,
15,Chili,Herbs,,
16,Mozzarella,Cheeses,,
17,Mushroom,Vegetables,,
18,Oragano,Herbs,,
19,Sundried tomato,Vegetables,,
20,Capers,Other,,
21,Celery,Vegetables,,
22,Chive,Herbs,,
23,Chorizo,Meats,,
24,Creme fraiche,Dairy,,
25,Cucumber,Vegetables,,
26,Pea,Vegetables,,
27,Pine nut,Nut,,
28,Red wine,Alcohol,,
29,Rosemary,Herbs,,
30,Sage,Herbs,,
31,Salmon,Meats,,
32,Smoked paprika,Spices,,
33,Spinach,Spices,,
34,White wine,Alcohol,,
35,Almond,Nut,,
36,Apple cider vinegar,Vinegars,,
37,Asparagus,Vegetables,,
38,Bell pepper,Vegetables,,
39,Brocolli,Vegetables,,
40,Chicken,Meats,,
41,Cinnamon,Spices,,
42,Cream cheese,Cheeses,,
43,Egg plant,Vegetables,,
44,Hazelnut,Nut,,
45,Honey,Sugars,,
46,Mayonnaise,Condiments,,
47,Pointed cabbage,Vegetables,,
48,Pumpkin,Vegetables,,
49,Raisin,Fruits,,
50,Red onion,Vegetables,,
51,Ricotta,Cheeses,,
52,Yoghurt,Dairy,,
