Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Honey,Sugars
2,Garlic,Herbs,Carrot,Other
3,Onion,Vegetables,Chicken stock,Other
4,Pepper,Spices,Cream,Dairy
5,Potato,Vegetables,Garlic,Herbs
6,Carrot,Other,Onion,Vegetables
7,Cilantro,Herbs,Pepper,Spices
8,Parmesan,Dairy,Sesame oil,Oils
9,Spring onion,Vegetables,Soy,Other
10,Chicken stock,Other,,
11,Chili,Herbs,,
12,Cream,Dairy,,
13,Creme fraiche,Dairy,,
14,Lemon,Fruits,,
15,Mint,Herbs,,
16,Parsley,Herbs,,
17,Spinach,Spices,,
18,White wine,Alcohol,,
19,Almond,Nut,,
20,Arugula,Vegetables,,
21,Asparagus,Vegetables,,
22,Basil,Herbs,,
23,Bay leaf,Herbs,,
24,Capers,Other,,
25,Cauliflower,Vegetables,,
26,Cayenne pepper,Spices,,
27,Celery,Vegetables,,
28,Cheddar,Cheeses,,
29,Chive,Herbs,,
30,Cumin,Spices,,
31,Dill,Herbs,,
32,Feta,Cheeses,,
33,Flatleaf Parsley,Herbs,,
34,Garam masala,Spices,,
35,Ginger,Herbs,,
36,Honey,Sugars,,
37,Kale,Vegetables,,
38,Leek,Vegetables,,
39,Lime,Fruits,,
40,Mayonnaise,Condiments,,
41,Mustard,Condiments,,
42,Pasta,Other,,
43,Red onion,Vegetables,,
44,Rice,Other,,
45,Sesame oil,Oils,,
46,Shallot,Vegetables,,
47,Smoked paprika,Spices,,
48,Soy,Other,,
49,Sweet potato,Vegetables,,
50,Tahin,Other,,
51,Timian,Herbs,,
52,Tomato,Vegetables,,
53,Turmeric,Spices,,
54,Vegetable stock,Other,,
55,Worcestershire sauce,Condiments,,
56,Yoghurt,Dairy,,
57,Anchovy,Meats,,
58,Apple cider vinegar,Vinegars,,
59,Avocado,Vegetables,,
60,Balsamic vinegar,Vinegars,,
61,Beef stock,Other,,
62,Brocolli,Vegetables,,
63,Butternut squash,Vegetables,,
64,Cashew,Nut,,
65,Chick pea,Vegetables,,
66,Chorizo,Meats,,
67,Coconut,Nut,,
68,Courgette,Vegetables,,
69,Fennel,Vegetables,,
70,Fish sauce,Other,,
71,Ketchup,Condiments,,
72,Mascarpone,Cheeses,,
73,Oragano,Herbs,,
74,Paprika,Spices,,
75,Rapeseed oil,Oils,,
76,Red wine,Alcohol,,
77,Ricotta,Cheeses,,
78,Watercress,Vegetables,,
79,Zucchini,Vegetables,,
