Rank,Savory,Category,Sweet,Category
1,Almond,Nut,Vanilla,Herbs
2,Honey,Sugars,Raspberry,Berries
3,Lemon,Fruits,White chocolate,Other
4,Olive oil,Oils,Almond,Nut
5,Apple,Fruits,Apple,Fruits
6,Apple cider vinegar,Vinegars,Banana,Fruits
7,Arugula,Vegetables,Flaxseed,Seeds
8,Basil,Herbs,Hazelnut,Nut
9,Beef,Meats,Lemon,Fruits
10,Blueberry,Berries,Licorice,Candy
11,Cinnamon,Spices,Pear,Fruits
12,Cloves,Spices,Plum,Berries
13,Feta,Cheeses,Rosemary,Herbs
14,Garlic,Herbs,Sesame seed,Seeds
15,Maple syrup,Sugars,Strawberry,Berries
16,Mustard,Condiments,,
17,Nutmeg,Spices,,
18,Onion,Vegetables,,
19,Oragano,Herbs,,
20,Pear,Fruits,,
21,Pepper,Spices,,
22,Pine nut,Nut,,
23,Ricotta,Cheeses,,
24,Spinach,Spices,,
25,Timian,Herbs,,
26,Tomato,Vegetables,,
27,Vanilla,Herbs,,
28,Walnut,Nut,,
29,White wine,Alcohol,,
