Rank,Savory,Category,Sweet,Category
1,Cilantro,Herbs,Dark chocolate,Other
2,Garlic,Herbs,White chocolate,Other
3,Ginger,Herbs,Peanut butter,Nut
4,Lime,Fruits,Cocoa,Other
5,Chili,Herbs,Lemon,Fruits
6,Fish sauce,Other,Milk chocolate,Other
7,Carrot,Other,Vanilla,Herbs
8,Coconut,Nut,Almond,Nut
9,Mint,Herbs,Blackberry,Berries
10,Olive oil,Oils,Orange,Fruits
11,Onion,Vegetables,Honey,Sugars
12,Soy,Other,Lime,Fruits
13,Pepper,Spices,Maple syrup,Sugars
14,Rice,Other,Marshmallow,Candy
15,Spring onion,Vegetables,Marzipan,Other
16,Bell pepper,Vegetables,Passionfruit,Fruits
17,Brocolli,Vegetables,Banana,Fruits
18,Chicken,Meats,Blackcurrant,Berries
19,Coconut sugar,Sugars,Champagne,Alcohol
20,Noodle,Other,Cinnamon,Spices
21,Peanut butter,Nut,Coconut,Nut
22,Pointed cabbage,Vegetables,Condensed milk,Dairy
23,Apple,Fruits,Creme fraiche,Dairy
24,Apple cider vinegar,Vinegars,Date,Fruits
25,Basil,Herbs,Elderflower,Herbs
26,Bean sprout,Vegetables,Fish sauce,Other
27,Cauliflower,Vegetables,Garlic,Herbs
28,Chick pea,Vegetables,Ginger,Herbs
29,Creme fraiche,Dairy,Hazelnut,Nut
30,Cucumber,Vegetables,Raspberry,Berries
31,Cumin,Spices,Sea buckthorn,Berries
32,Curry,Spices,Shallot,Vegetables
33,Edamame,Vegetables,Soy,Other
34,Honey,Sugars,Turmeric,Spices
35,Kale,Vegetables,Wood sorrel,Herbs
36,Lemon,Fruits,Yoghurt,Dairy
37,Lemongrass,Herbs,,
38,Mango,Fruits,,
39,Mayonnaise,Condiments,,
40,Paprika,Spices,,
41,Parsley,Herbs,,
42,Pomegranate,Fruits,,
43,Potato,Vegetables,,
44,Raisin,Fruits,,
45,Red onion,Vegetables,,
46,Smoked paprika,Spices,,
47,Zucchini,Vegetables,,
