Rank,Savory,Category,Sweet,Category
1,Carrot,Other,Dark chocolate,Other
2,Garlic,Herbs,Peanit,Nut
3,Onion,Vegetables,Milk chocolate,Other
4,Ginger,Herbs,Cocoa,Other
5,Olive oil,Oils,Vanilla,Herbs
6,Chili,Herbs,Banana,Fruits
7,Cilantro,Herbs,Blackberry,Berries
8,Coconut,Nut,Marshmallow,Candy
9,Lime,Fruits,White chocolate,Other
10,Banana,Fruits,Wood sorrel,Herbs
11,Bell pepper,Vegetables,Cardamom,Spices
12,Chicken,Meats,Date,Fruits
13,Peanit,Nut,Honey,Sugars
14,Pepper,Spices,Lemon,Fruits
15,Rice,Other,Lime,Fruits
16,Soy,Other,Maple syrup,Sugars
17,Tomato,Vegetables,Marzipan,Other
18,Bay leaf,Herbs,Passionfruit,Fruits
19,Brocolli,Vegetables,Smoked paprika,Spices
20,Coconut sugar,Sugars,Soy,Other
21,Edamame,Vegetables,Strawberry,Berries
22,Lemongrass,Herbs,,
23,Vanilla,Herbs,,
24,Zucchini,Vegetables,,
25,Cayenne pepper,Spices,,
26,Chick pea,Vegetables,,
27,Chive,Herbs,,
28,Cinnamon,Spices,,
29,Cucumber,Vegetables,,
30,Dark chocolate,Other,,
31,Fish sauce,Other,,
32,Honey,Sugars,,
33,Pointed cabbage,Vegetables,,
34,Smoked paprika,Spices,,
35,Spring onion,Vegetables,,
36,Yoghurt,Dairy,,
