Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Gin,Alcohol,Pepper,Spices,Vanilla,Herbs
2,Honey,Sugars,Olive oil,Oils,Dark chocolate,Other
3,Lime,Fruits,Lemon,Fruits,Lemon,Fruits
4,Sage,Herbs,Honey,Sugars,Cinnamon,Spices
5,,,Walnut,Nut,Marzipan,Other
6,,,Mint,Herbs,White chocolate,Other
7,,,Almond,Nut,Hazelnut,Nut
8,,,Apple,Fruits,Almond,Nut
9,,,Apple cider vinegar,Vinegars,Apple,Fruits
10,,,Bacon,Meats,Honey,Sugars
11,,,Banana,Fruits,Walnut,Nut
12,,,Carrot,Other,Blueberry,Berries
13,,,Cinnamon,Spices,Cardamom,Spices
14,,,Cranberry,Berries,Lime,Fruits
15,,,Feta,Cheeses,Pistachio,Nut
16,,,Garlic,Herbs,Strawberry,Berries
17,,,Ginger,Herbs,Yoghurt,Dairy
18,,,Mustard,Condiments,Banana,Fruits
19,,,Onion,Vegetables,Champagne,Alcohol
20,,,Orange,Fruits,Cloves,Spices
21,,,Pine nut,Nut,Coconut,Nut
22,,,Potato,Vegetables,Condensed milk,Dairy
23,,,Red onion,Vegetables,Elderflower,Herbs
24,,,Spring onion,Vegetables,Goat cheese,Cheeses
25,,,Timian,Herbs,Kiwi,Berries
26,,,Vanilla,Herbs,Lemon balm,Herbs
27,,,Yoghurt,Dairy,Lemongrass,Herbs
28,,,Arugula,Vegetables,Mango,Fruits
29,,,Balsamic vinegar,Vinegars,Milk chocolate,Other
30,,,Basil,Herbs,Nougat,Other
31,,,Bay leaf,Herbs,Passionfruit,Fruits
32,,,Beef,Meats,Peach,Fruits
33,,,Beetroot,Vegetables,Pineapple,Fruits
34,,,Bergamot,Fruits,Plum,Berries
35,,,Blueberry,Berries,Portwine,Alcohol
36,,,Brocolli,Vegetables,Raspberry,Berries
37,,,Capers,Other,Red wine,Alcohol
38,,,Cardamom,Spices,Redcurrant,Berries
39,,,Celery,Vegetables,Rosemary,Herbs
40,,,Chili,Herbs,Rum,Alcohol
41,,,Chive,Herbs,,
42,,,Cilantro,Herbs,,
43,,,Cloves,Spices,,
44,,,Cucumber,Vegetables,,
45,,,Dark chocolate,Other,,
46,,,Date,Fruits,,
47,,,Fennel,Vegetables,,
48,,,Fig,Fruits,,
49,,,Kiwi,Berries,,
50,,,Licorice,Candy,,
51,,,Mandarin,Fruits,,
52,,,Mango,Fruits,,
53,,,Maple syrup,Sugars,,
54,,,Nutmeg,Spices,,
55,,,Oragano,Herbs,,
56,,,Parsley,Herbs,,
57,,,Peach,Fruits,,
58,,,Pecan,Nut,,
59,,,Pineapple,Fruits,,
60,,,Pointed cabbage,Vegetables,,
61,,,Pomegranate,Fruits,,
62,,,Prune,Fruits,,
63,,,Red cabbage,Vegetables,,
64,,,Rosemary,Herbs,,
65,,,Salmon,Meats,,
66,,,Tahin,Other,,
67,,,Tomato,Vegetables,,
68,,,White wine,Alcohol,,
