Rank,Savory,Category,Sweet,Category
1,Honey,Sugars,Vanilla,Herbs
2,Olive oil,Oils,Dark chocolate,Other
3,Feta,Cheeses,Lemon,Fruits
4,Maple syrup,Sugars,Almond,Nut
5,Mustard,Condiments,Cocoa,Other
6,Parsley,Herbs,Marzipan,Other
7,Pepper,Spices,Cinnamon,Spices
8,Red onion,Vegetables,Honey,Sugars
9,Apple cider vinegar,Vinegars,Maple syrup,Sugars
10,Arugula,Vegetables,Marshmallow,Candy
11,Banana,Fruits,Nutmeg,Spices
12,Basil,Herbs,White chocolate,Other
13,Blood orange,Fruits,Apricot,Fruits
14,Bread,Other,Blackberry,Berries
15,Chia seed,Seeds,Buttermilk,Dairy
16,Cilantro,Herbs,Cardamom,Spices
17,Cinnamon,Spices,Cream cheese,Cheeses
18,Cocoa,Other,Date,Fruits
19,Dark chocolate,Other,Ginger,Herbs
20,Dill,Herbs,Lime,Fruits
21,Garlic,Herbs,Milk chocolate,Other
22,Ginger,Herbs,Sweet potato,Vegetables
23,Kale,Vegetables,Amaretto,Alcohol
24,Lemon,Fruits,Bacon,Meats
25,Lime,Fruits,Balsamic vinegar,Vinegars
26,Mayonnaise,Condiments,Banana,Fruits
27,Pear,Fruits,Beetroot,Vegetables
28,Pointed cabbage,Vegetables,Blackcurrant,Berries
29,Red cabbage,Vegetables,Blueberry,Berries
30,Shallot,Vegetables,Caramel,Sugars
31,Smoked paprika,Spices,Cashew,Nut
32,Spinach,Spices,Cherry,Berries
33,Strawberry,Berries,Chili,Herbs
34,White wine vinegar,Vinegars,Cloves,Spices
35,,,Coconut,Nut
36,,,Coffee,Beverages
37,,,Cointreau,Liqueurs
38,,,Condensed milk,Dairy
39,,,Creme fraiche,Dairy
40,,,Elderflower,Herbs
41,,,Gooseberry,Berries
42,,,Grand Marnier,Alcohol
43,,,Hazelnut,Nut
44,,,Ketchup,Condiments
45,,,Licorice,Candy
46,,,Mint,Herbs
47,,,Nougat,Other
48,,,Orange,Fruits
49,,,Pistachio,Nut
50,,,Rum,Alcohol
51,,,Sea buckthorn,Berries
52,,,Smoked paprika,Spices
53,,,Soy,Other
54,,,Walnut,Nut
