Rank,Cocktail,Category
1,Lemon,Fruits
2,Lime,Fruits
3,Angostura,Alcohol
4,Absinthe,Alcohol
5,Cherry,Berries
6,Cognac,Alcohol
7,Honey,Sugars
8,Rye whiskey,Alcohol
9,Aperol,Alcohol
10,Apple,Fruits
11,Bénédictine,Alcohol
12,Grapefruit,Fruits
13,Mezcal,Alcohol
14,Mint,Herbs
15,Orange,Fruits
16,Pineapple,Fruits
17,Agave nectar,Sugars
18,Beer,Alcohol
19,Bourbon,Alcohol
20,Campari,Alcohol
21,Cointreau,Liqueurs
22,Fernet Branca,Alcohol
23,Gin,Alcohol
24,Maraschino liqueur,Alcohol
25,Nutmeg,Spices
26,Orange bitter,Alcohol
27,Orange curaçao,Alcohol
28,Orgeat syrup,Other
29,Raspberry,Berries
30,St. Germain,Alcohol
31,Sweet vermouth,Alcohol
32,Vodka,Alcohol
