Rank,Savory,Category
1,Pepper,Spices
2,Bay leaf,Herbs
3,Onion,Vegetables
4,Cinnamon,Spices
5,Cloves,Spices
6,Cucumber,Vegetables
7,Honey,Sugars
8,Lemon,Fruits
9,Mustard,Condiments
10,Red onion,Vegetables
11,Timian,Herbs
12,Carrot,Other
13,Olive oil,Oils
14,Star anise,Spices
15,Garlic,Herbs
16,Rye bread,Other
17,Allspice,Spices
18,Apple,Fruits
19,Apple cider vinegar,Vinegars
20,Apricot,Fruits
21,Arugula,Vegetables
22,Banana,Fruits
23,Beef,Meats
24,Beetroot,Vegetables
25,Caraway,Spices
26,Cardamom,Spices
27,Chicken,Meats
28,Chicken stock,Other
29,Cumin,Spices
30,Curry,Spices
31,Dill,Herbs
32,Fennel,Vegetables
33,Ginger,Herbs
34,Ketchup,Condiments
35,Lime,Fruits
36,Orange,Fruits
37,Parsley,Herbs
38,Potato,Vegetables
39,Red cabbage,Vegetables
40,Rhubarb,Fruits
41,Rosemary,Herbs
42,Sesame seed,Seeds
43,Spring onion,Vegetables
44,Tarragon,Herbs
45,Turmeric,Spices
46,Vanilla,Herbs
