Rank,Savory,Category,Sweet,Category
1,Olive oil,Oils,Almond,Nut
2,Garlic,Herbs,Vanilla,Herbs
3,Pepper,Spices,Arugula,Vegetables
4,Lemon,Fruits,Coffee,Beverages
5,Onion,Vegetables,Cream,Dairy
6,Parmesan,Dairy,Dark chocolate,Other
7,Basil,Herbs,Honey,Sugars
8,Parsley,Herbs,Lemon,Fruits
9,Tomato,Vegetables,Mustard,Condiments
10,Arugula,Vegetables,Olive oil,Oils
11,Chili,Herbs,Parsley,Herbs
12,Cumin,Spices,Pepper,Spices
13,Honey,Sugars,Rhubarb,Fruits
14,Red onion,Vegetables,Strawberry,Berries
15,Spinach,Spices,,
16,Almond,Nut,,
17,Apple,Fruits,,
18,Apple cider vinegar,Vinegars,,
19,Apricot,Fruits,,
20,Avocado,Vegetables,,
21,Bay leaf,Herbs,,
22,Bell pepper,Vegetables,,
23,Carrot,Other,,
24,Cauliflower,Vegetables,,
25,Cilantro,Herbs,,
26,Cinnamon,Spices,,
27,Cucumber,Vegetables,,
28,Feta,Cheeses,,
29,Flatleaf Parsley,Herbs,,
30,Mint,Herbs,,
31,Mozzarella,Cheeses,,
32,Mustard,Condiments,,
33,Nutmeg,Spices,,
34,Oragano,Herbs,,
35,Potato,Vegetables,,
36,Pumpkin seed,Seeds,,
37,Raisin,Fruits,,
38,Rice,Other,,
39,Ricotta,Cheeses,,
40,Rosemary,Herbs,,
41,Sesame seed,Seeds,,
42,Shallot,Vegetables,,
43,Sundried tomato,Vegetables,,
44,Timian,Herbs,,
45,White wine vinegar,Vinegars,,
46,Yoghurt,Dairy,,
47,Zucchini,Vegetables,,
48,Asparagus,Vegetables,,
49,Balsamic vinegar,Vinegars,,
50,Beef,Meats,,
51,Blueberry,Berries,,
52,Cardamom,Spices,,
53,Cayenne pepper,Spices,,
54,Celery,Vegetables,,
55,Chicken stock,Other,,
56,Chick pea,Vegetables,,
57,Chorizo,Meats,,
58,Cloves,Spices,,
59,Coriander seed,Other,,
60,Courgette,Vegetables,,
61,Cream,Dairy,,
62,Creme fraiche,Dairy,,
63,Curry,Spices,,
64,Date,Fruits,,
65,Edamame,Vegetables,,
66,Ginger,Herbs,,
67,Hazelnut,Nut,,
68,Jamón,Meats,,
69,Kale,Vegetables,,
70,Lime,Fruits,,
71,Maple syrup,Sugars,,
72,Orange,Fruits,,
73,Paprika,Spices,,
74,Pasta,Other,,
75,Peach,Fruits,,
76,Pear,Fruits,,
77,Pointed cabbage,Vegetables,,
78,Pomegranate,Fruits,,
79,Salmon,Meats,,
80,Smoked paprika,Spices,,
81,Sourdough,Other,,
82,Soy,Other,,
83,Spring onion,Vegetables,,
84,Strawberry,Berries,,
85,Tahin,Other,,
86,Turmeric,Spices,,
87,Vegetable stock,Other,,
88,Walnut,Nut,,
89,Watercress,Vegetables,,
90,Watermelon,Fruits,,
91,White wine,Alcohol,,
