Rank,Cocktail,Category,Savory,Category,Sweet,Category
1,Lime,Fruits,Chili,Herbs,Vanilla,Herbs
2,Orange,Fruits,Garlic,Herbs,Lemon,Fruits
3,Light rum,Alcohol,Banana,Fruits,White chocolate,Other
4,Angostura,Alcohol,Ginger,Herbs,Coconut,Nut
5,Lemon,Fruits,Orange,Fruits,Mango,Fruits
6,Mint,Herbs,Spring onion,Vegetables,Marzipan,Other
7,Cherry,Berries,Bell pepper,Vegetables,Passionfruit,Fruits
8,Grenadine,Beverages,Carrot,Other,Strawberry,Berries
9,Vodka,Alcohol,Mango,Fruits,Dark chocolate,Other
10,Agave nectar,Sugars,Olive oil,Oils,Kiwi,Berries
11,Blue curaçao,Alcohol,Onion,Vegetables,Lime,Fruits
12,Coconut,Nut,Pepper,Spices,Orange,Fruits
13,Dark rum,Alcohol,Chicken,Meats,Pistachio,Nut
14,Gin,Alcohol,Coconut,Nut,Rum,Alcohol
15,Maraschino liqueur,Alcohol,Lemon,Fruits,Almond,Nut
16,Nutmeg,Spices,Lime,Fruits,Apricot,Fruits
17,Orgeat syrup,Other,Pomegranate,Fruits,Banana,Fruits
18,Banana,Fruits,Vanilla,Herbs,Blueberry,Berries
19,Blueberry,Berries,Almond,Nut,Chili,Herbs
20,Campari,Alcohol,Apple,Fruits,Cinnamon,Spices
21,Cardamom,Spices,Apricot,Fruits,Cloves,Spices
22,Champagne,Alcohol,Arugula,Vegetables,Cream cheese,Cheeses
23,Cinnamon,Spices,Bacon,Meats,Creme fraiche,Dairy
24,Cointreau,Liqueurs,Beef,Meats,Garlic,Herbs
25,Cranberry,Berries,Beetroot,Vegetables,Ginger,Herbs
26,Cream,Dairy,Brocolli,Vegetables,Hazelnut,Nut
27,Dry vermouth,Alcohol,Buttermilk,Dairy,Lavender,Herbs
28,Ginger,Herbs,Cardamom,Spices,Lemongrass,Herbs
29,Grand Marnier,Alcohol,Cashew,Nut,Marshmallow,Candy
30,Grapefruit,Fruits,Cheddar,Cheeses,Mascarpone,Cheeses
31,Green chartreuse,Alcohol,Cilantro,Herbs,Mint,Herbs
32,Honey,Sugars,Cinnamon,Spices,Nutmeg,Spices
33,Lavender,Herbs,Cream,Dairy,Pear,Fruits
34,Mezcal,Alcohol,Dark chocolate,Other,Raspberry,Berries
35,Orange curaçao,Alcohol,Grapefruit,Fruits,Sesame oil,Oils
36,Pepper,Spices,Honey,Sugars,Toasted coconut,Nut
37,Peychaud's Bitters,Alcohol,Kale,Vegetables,Walnut,Nut
38,Rum,Alcohol,Kiwi,Berries,Yoghurt,Dairy
39,Strawberry,Berries,Leek,Vegetables,,
40,,,Mayonnaise,Condiments,,
41,,,Mint,Herbs,,
42,,,Mushroom,Vegetables,,
43,,,Nutmeg,Spices,,
44,,,Pear,Fruits,,
45,,,Rice,Other,,
46,,,Sesame oil,Oils,,
47,,,Smoked paprika,Spices,,
48,,,Soy,Other,,
49,,,Spinach,Spices,,
50,,,Timian,Herbs,,
51,,,Worcestershire sauce,Condiments,,
