Rank,Savory,Category,Sweet,Category
1,Pepper,Spices,Vanilla,Herbs
2,Lemon,Fruits,Almond,Nut
3,Olive oil,Oils,Dark chocolate,Other
4,Pomegranate,Fruits,Lemon,Fruits
5,Almond,Nut,Marzipan,Other
6,Arugula,Vegetables,White chocolate,Other
7,Carrot,Other,Hazelnut,Nut
8,Chicken,Meats,Raspberry,Berries
9,Cilantro,Herbs,Cocoa,Other
10,Honey,Sugars,Honey,Sugars
11,Lime,Fruits,Cardamom,Spices
12,Mint,Herbs,Cinnamon,Spices
13,Pumpkin seed,Seeds,Ginger,Herbs
14,Red onion,Vegetables,Lime,Fruits
15,Apple,Fruits,Nougat,Other
16,Avocado,Vegetables,Orange,Fruits
17,Bacon,Meats,Strawberry,Berries
18,Basil,Herbs,Walnut,Nut
19,Celeriac,Vegetables,Apple,Fruits
20,Coconut,Nut,Apricot,Fruits
21,Cranberry,Berries,Cherry,Berries
22,Cumin,Spices,Cloves,Spices
23,Dark chocolate,Other,Coconut,Nut
24,Egg plant,Vegetables,Condensed milk,Dairy
25,Feta,Cheeses,Cranberry,Berries
26,Garlic,Herbs,Cream cheese,Cheeses
27,Ginger,Herbs,Elderflower,Herbs
28,Lemongrass,Herbs,Fig,Fruits
29,Mango,Fruits,Grapefruit,Fruits
30,Mustard,Condiments,Licorice,Candy
31,Parsley,Herbs,Mango,Fruits
32,Red cabbage,Vegetables,Maple syrup,Sugars
33,Salmon,Meats,Marshmallow,Candy
34,Spring onion,Vegetables,Milk chocolate,Other
35,Tahin,Other,Mint,Herbs
36,Turmeric,Spices,Passionfruit,Fruits
37,Vanilla,Herbs,Pepper,Spices
38,White chocolate,Other,Rhubarb,Fruits
39,,,Yoghurt,Dairy
40,,,Anise,Spices
41,,,Banana,Fruits
42,,,Basil,Herbs
43,,,Beetroot,Vegetables
44,,,Blackberry,Berries
45,,,Blueberry,Berries
46,,,Buttermilk,Dairy
47,,,Carrot,Other
48,,,Cashew,Nut
49,,,Champagne,Alcohol
50,,,Chestnut,Nut
51,,,Chia seed,Seeds
52,,,Chili,Herbs
53,,,Chokeberry,Berries
54,,,Cognac,Alcohol
55,,,Creme fraiche,Dairy
56,,,Currant,Berries
57,,,Curry,Spices
58,,,Dark rum,Alcohol
59,,,Date,Fruits
60,,,Gooseberry,Berries
61,,,Kiwi,Berries
62,,,Lemon balm,Herbs
63,,,Mascarpone,Cheeses
64,,,Nutmeg,Spices
65,,,Pear,Fruits
66,,,Pecan,Nut
67,,,Pineapple,Fruits
68,,,Plum,Berries
69,,,Pomegranate,Fruits
70,,,Poppy seed,Seeds
71,,,Portwine,Alcohol
72,,,Pumpkin,Vegetables
73,,,Redcurrant,Berries
74,,,Rosewater,Other
75,,,Rosemary,Herbs
76,,,Rum,Alcohol
77,,,Ladyfingers,Other
78,,,Sea buckthorn,Berries
79,,,Turmeric,Spices
